# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.824037e-01    7.171159e+00    3.438732e+01    5.857641e+08    6.375835e-09    6.068905e-11    6.235385e-09    1.137885e-09   -3.300000e+00    9.639733e-01    1.730652e+00
    6.881839e-01    7.475943e+00    3.415266e+01    5.867567e+08    6.375160e-09    5.878270e-11    6.232755e-09    1.137598e-09   -3.290000e+00    9.639733e-01    1.722481e+00
    6.939835e-01    7.798458e+00    3.391726e+01    5.876827e+08    6.374515e-09    5.694190e-11    6.230090e-09    1.137311e-09   -3.280000e+00    9.639733e-01    1.714320e+00
    6.997877e-01    8.139610e+00    3.368172e+01    5.885393e+08    6.373900e-09    5.516425e-11    6.227390e-09    1.137026e-09   -3.270000e+00    9.639733e-01    1.706168e+00
    7.055964e-01    8.500288e+00    3.344587e+01    5.893233e+08    6.373315e-09    5.344760e-11    6.224655e-09    1.136742e-09   -3.260000e+00    9.639733e-01    1.698025e+00
    7.114061e-01    8.881373e+00    3.320974e+01    5.900320e+08    6.372760e-09    5.178970e-11    6.221885e-09    1.136458e-09   -3.250000e+00    9.639733e-01    1.689891e+00
    7.172128e-01    9.283712e+00    3.297337e+01    5.906629e+08    6.372235e-09    5.018850e-11    6.219085e-09    1.136177e-09   -3.240000e+00    9.639733e-01    1.681767e+00
    7.230136e-01    9.708124e+00    3.273678e+01    5.912141e+08    6.371735e-09    4.864197e-11    6.216255e-09    1.135897e-09   -3.230000e+00    9.639733e-01    1.673651e+00
    7.288050e-01    1.015536e+01    3.249999e+01    5.916835e+08    6.371260e-09    4.714814e-11    6.213395e-09    1.135618e-09   -3.220000e+00    9.639733e-01    1.665545e+00
    7.345844e-01    1.062613e+01    3.226306e+01    5.920695e+08    6.370810e-09    4.570511e-11    6.210505e-09    1.135340e-09   -3.210000e+00    9.639733e-01    1.657447e+00
    7.403488e-01    1.112106e+01    3.202601e+01    5.923708e+08    6.370385e-09    4.431108e-11    6.207590e-09    1.135063e-09   -3.200000e+00    9.639733e-01    1.649359e+00
    7.460960e-01    1.164067e+01    3.178887e+01    5.925861e+08    6.369985e-09    4.296426e-11    6.204645e-09    1.134788e-09   -3.190000e+00    9.639733e-01    1.641280e+00
    7.518243e-01    1.218542e+01    3.155167e+01    5.927155e+08    6.369605e-09    4.166298e-11    6.201675e-09    1.134515e-09   -3.180000e+00    9.639733e-01    1.633209e+00
    7.575322e-01    1.275564e+01    3.131445e+01    5.927589e+08    6.369245e-09    4.040557e-11    6.198675e-09    1.134242e-09   -3.170000e+00    9.639733e-01    1.625148e+00
    7.632186e-01    1.335156e+01    3.107724e+01    5.927162e+08    6.368905e-09    3.919046e-11    6.195655e-09    1.133972e-09   -3.160000e+00    9.639733e-01    1.617096e+00
    7.688826e-01    1.397328e+01    3.084009e+01    5.925884e+08    6.368580e-09    3.801614e-11    6.192610e-09    1.133702e-09   -3.150000e+00    9.639733e-01    1.609052e+00
    7.745244e-01    1.462081e+01    3.060300e+01    5.923756e+08    6.368280e-09    3.688113e-11    6.189540e-09    1.133434e-09   -3.140000e+00    9.639733e-01    1.601018e+00
    7.801439e-01    1.529401e+01    3.036604e+01    5.920798e+08    6.367995e-09    3.578400e-11    6.186450e-09    1.133168e-09   -3.130000e+00    9.639733e-01    1.592992e+00
    7.857417e-01    1.599263e+01    3.012922e+01    5.917027e+08    6.367725e-09    3.472339e-11    6.183335e-09    1.132902e-09   -3.120000e+00    9.639733e-01    1.584975e+00
    7.913189e-01    1.671632e+01    2.989258e+01    5.912454e+08    6.367475e-09    3.369800e-11    6.180200e-09    1.132639e-09   -3.110000e+00    9.639733e-01    1.576967e+00
    7.968768e-01    1.746462e+01    2.965614e+01    5.907105e+08    6.367240e-09    3.270655e-11    6.177045e-09    1.132376e-09   -3.100000e+00    9.639733e-01    1.568967e+00
    8.024170e-01    1.823697e+01    2.941994e+01    5.901007e+08    6.367015e-09    3.174782e-11    6.173865e-09    1.132114e-09   -3.090000e+00    9.639733e-01    1.560977e+00
    8.079411e-01    1.903274e+01    2.918401e+01    5.894173e+08    6.366810e-09    3.082064e-11    6.170670e-09    1.131855e-09   -3.080000e+00    9.639733e-01    1.552995e+00
