# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    7.161621e-01    1.043904e+01    1.238808e+01    8.163817e+07    1.729586e-08    1.513518e-10    1.709367e-08    3.165017e-09   -3.300000e+00    9.600370e-01    1.697662e+00
    7.219346e-01    1.099784e+01    1.229936e+01    8.171501e+07    1.729412e-08    1.465632e-10    1.708562e-08    3.164211e-09   -3.290000e+00    9.600370e-01    1.689504e+00
    7.276989e-01    1.159604e+01    1.221049e+01    8.178017e+07    1.729246e-08    1.419414e-10    1.707748e-08    3.163408e-09   -3.280000e+00    9.600370e-01    1.681357e+00
    7.334451e-01    1.223619e+01    1.212161e+01    8.183339e+07    1.729090e-08    1.374801e-10    1.706924e-08    3.162609e-09   -3.270000e+00    9.600370e-01    1.673220e+00
    7.391717e-01    1.292088e+01    1.203269e+01    8.187439e+07    1.728940e-08    1.331737e-10    1.706092e-08    3.161813e-09   -3.260000e+00    9.600370e-01    1.665093e+00
    7.448762e-01    1.365275e+01    1.194373e+01    8.190303e+07    1.728798e-08    1.290163e-10    1.705252e-08    3.161021e-09   -3.250000e+00    9.600370e-01    1.656977e+00
    7.505551e-01    1.443447e+01    1.185476e+01    8.191909e+07    1.728663e-08    1.250028e-10    1.704404e-08    3.160233e-09   -3.240000e+00    9.600370e-01    1.648870e+00
    7.562070e-01    1.526869e+01    1.176578e+01    8.192253e+07    1.728535e-08    1.211276e-10    1.703548e-08    3.159448e-09   -3.230000e+00    9.600370e-01    1.640774e+00
    7.618289e-01    1.615807e+01    1.167682e+01    8.191328e+07    1.728414e-08    1.173859e-10    1.702685e-08    3.158668e-09   -3.220000e+00    9.600370e-01    1.632687e+00
    7.674206e-01    1.710518e+01    1.158787e+01    8.189145e+07    1.728298e-08    1.137727e-10    1.701814e-08    3.157891e-09   -3.210000e+00    9.600370e-01    1.624611e+00
    7.729809e-01    1.811253e+01    1.149897e+01    8.185711e+07    1.728189e-08    1.102833e-10    1.700936e-08    3.157119e-09   -3.200000e+00    9.600370e-01    1.616544e+00
