# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: 25 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    8.946254e-01    1.783845e+00    2.235333e-05   -3.268472e-05    3.428743e-06    2.208561e-14   -2.179733e-14   -2.317917e-16   -4.028063e-15
   -3.290000e+00    8.946254e-01    1.775527e+00    2.238607e-05   -3.246118e-05    3.295395e-06    2.208263e-14   -2.178782e-14   -2.244133e-16   -4.026994e-15
   -3.280000e+00    8.946254e-01    1.767219e+00    2.241700e-05   -3.223700e-05    3.164044e-06    2.207977e-14   -2.177817e-14   -2.172903e-16   -4.025927e-15
   -3.270000e+00    8.946254e-01    1.758921e+00    2.244599e-05   -3.201269e-05    3.034839e-06    2.207704e-14   -2.176838e-14   -2.104138e-16   -4.024864e-15
   -3.260000e+00    8.946254e-01    1.750634e+00    2.247291e-05   -3.178809e-05    2.907933e-06    2.207443e-14   -2.175846e-14   -2.037749e-16   -4.023804e-15
   -3.250000e+00    8.946254e-01    1.742356e+00    2.249765e-05   -3.156324e-05    2.783478e-06    2.207193e-14   -2.174840e-14   -1.973653e-16   -4.022747e-15
   -3.240000e+00    8.946254e-01    1.734089e+00    2.252007e-05   -3.133814e-05    2.661626e-06    2.206954e-14   -2.173823e-14   -1.911768e-16   -4.021694e-15
   -3.230000e+00    8.946254e-01    1.725832e+00    2.254005e-05   -3.111284e-05    2.542529e-06    2.206725e-14   -2.172793e-14   -1.852016e-16   -4.020645e-15
   -3.220000e+00    8.946254e-01    1.717585e+00    2.255747e-05   -3.088735e-05    2.426335e-06    2.206507e-14   -2.171752e-14   -1.794320e-16   -4.019600e-15
   -3.210000e+00    8.946254e-01    1.709349e+00    2.257222e-05   -3.066170e-05    2.313186e-06    2.206298e-14   -2.170699e-14   -1.738606e-16   -4.018559e-15
   -3.200000e+00    8.946254e-01    1.701122e+00    2.258417e-05   -3.043592e-05    2.203218e-06    2.206099e-14   -2.169635e-14   -1.684804e-16   -4.017523e-15
   -3.190000e+00    8.946254e-01    1.692905e+00    2.259323e-05   -3.021003e-05    2.096554e-06    2.205908e-14   -2.168561e-14   -1.632843e-16   -4.016490e-15
   -3.180000e+00    8.946254e-01    1.684698e+00    2.259930e-05   -2.998406e-05    1.993310e-06    2.205726e-14   -2.167476e-14   -1.582659e-16   -4.015463e-15
   -3.170000e+00    8.946254e-01    1.676502e+00    2.260230e-05   -2.975805e-05    1.893585e-06    2.205552e-14   -2.166382e-14   -1.534186e-16   -4.014440e-15
   -3.160000e+00    8.946254e-01    1.668315e+00    2.260214e-05   -2.953203e-05    1.797466e-06    2.205386e-14   -2.165277e-14   -1.487362e-16   -4.013421e-15
   -3.150000e+00    8.946254e-01    1.660138e+00    2.259878e-05   -2.930602e-05    1.705021e-06    2.205228e-14   -2.164164e-14   -1.442129e-16   -4.012407e-15
   -3.140000e+00    8.946254e-01    1.651971e+00    2.259217e-05   -2.908006e-05    1.616301e-06    2.205077e-14   -2.163041e-14   -1.398428e-16   -4.011398e-15
   -3.130000e+00    8.946254e-01    1.643814e+00    2.258228e-05   -2.885419e-05    1.531338e-06    2.204932e-14   -2.161909e-14   -1.356205e-16   -4.010394e-15
   -3.120000e+00    8.946254e-01    1.635667e+00    2.256909e-05   -2.862843e-05    1.450144e-06    2.204795e-14   -2.160769e-14   -1.315404e-16   -4.009394e-15
   -3.110000e+00    8.946254e-01    1.627530e+00    2.255262e-05   -2.840282e-05    1.372713e-06    2.204663e-14   -2.159620e-14   -1.275975e-16   -4.008399e-15
   -3.100000e+00    8.946254e-01    1.619403e+00    2.253286e-05   -2.817739e-05    1.299019e-06    2.204538e-14   -2.158463e-14   -1.237869e-16   -4.007409e-15
   -3.090000e+00    8.946254e-01    1.611285e+00    2.250986e-05   -2.795217e-05    1.229017e-06    2.204418e-14   -2.157298e-14   -1.201037e-16   -4.006423e-15
   -3.080000e+00    8.946254e-01    1.603177e+00    2.248367e-05   -2.772720e-05    1.162645e-06    2.204304e-14   -2.156126e-14   -1.165432e-16   -4.005442e-15
   -3.070000e+00    8.946254e-01    1.595079e+00    2.245435e-05   -2.750251e-05    1.099826e-06    2.204194e-14   -2.154946e-14   -1.131012e-16   -4.004466e-15
   -3.060000e+00    8.946254e-01    1.586991e+00    2.242197e-05   -2.727812e-05    1.040466e-06    2.204090e-14   -2.153758e-14   -1.097732e-16   -4.003494e-15
   -3.050000e+00    8.946254e-01    1.578913e+00    2.238660e-05   -2.705408e-05    9.844612e-07    2.203991e-14   -2.152563e-14   -1.065552e-16   -4.002526e-15
   -3.040000e+00    8.946254e-01    1.570844e+00    2.234836e-05   -2.683040e-05    9.316945e-07    2.203896e-14   -2.151362e-14   -1.034432e-16   -4.001563e-15
