# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: 25 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    8.928714e-01    1.765638e+00    1.319919e-05   -1.893796e-05    1.765262e-06    3.763714e-14   -3.727899e-14   -3.969176e-16   -6.936265e-15
   -3.290000e+00    8.928714e-01    1.757365e+00    1.321516e-05   -1.880596e-05    1.689589e-06    3.763182e-14   -3.726210e-14   -3.841496e-16   -6.934380e-15
   -3.280000e+00    8.928714e-01    1.749103e+00    1.322988e-05   -1.867366e-05    1.615323e-06    3.762673e-14   -3.724497e-14   -3.718281e-16   -6.932500e-15
   -3.270000e+00    8.928714e-01    1.740851e+00    1.324327e-05   -1.854129e-05    1.542554e-06    3.762186e-14   -3.722759e-14   -3.599374e-16   -6.930626e-15
   -3.260000e+00    8.928714e-01    1.732610e+00    1.325526e-05   -1.840880e-05    1.471375e-06    3.761719e-14   -3.720999e-14   -3.484620e-16   -6.928759e-15
   -3.250000e+00    8.928714e-01    1.724379e+00    1.326578e-05   -1.827619e-05    1.401873e-06    3.761273e-14   -3.719217e-14   -3.373870e-16   -6.926899e-15
   -3.240000e+00    8.928714e-01    1.716158e+00    1.327475e-05   -1.814349e-05    1.334136e-06    3.760846e-14   -3.717413e-14   -3.266981e-16   -6.925046e-15
   -3.230000e+00    8.928714e-01    1.707948e+00    1.328210e-05   -1.801070e-05    1.268248e-06    3.760437e-14   -3.715588e-14   -3.163813e-16   -6.923201e-15
   -3.220000e+00    8.928714e-01    1.699748e+00    1.328778e-05   -1.787785e-05    1.204286e-06    3.760046e-14   -3.713744e-14   -3.064233e-16   -6.921363e-15
   -3.210000e+00    8.928714e-01    1.691559e+00    1.329172e-05   -1.774495e-05    1.142325e-06    3.759672e-14   -3.711879e-14   -2.968109e-16   -6.919534e-15
   -3.200000e+00    8.928714e-01    1.683380e+00    1.329386e-05   -1.761202e-05    1.082429e-06    3.759315e-14   -3.709996e-14   -2.875316e-16   -6.917713e-15
   -3.190000e+00    8.928714e-01    1.675211e+00    1.329417e-05   -1.747908e-05    1.024656e-06    3.758973e-14   -3.708095e-14   -2.785734e-16   -6.915900e-15
   -3.180000e+00    8.928714e-01    1.667052e+00    1.329259e-05   -1.734614e-05    9.690527e-07    3.758646e-14   -3.706176e-14   -2.699245e-16   -6.914096e-15
   -3.170000e+00    8.928714e-01    1.658904e+00    1.328910e-05   -1.721323e-05    9.156579e-07    3.758334e-14   -3.704239e-14   -2.615735e-16   -6.912300e-15
   -3.160000e+00    8.928714e-01    1.650765e+00    1.328367e-05   -1.708037e-05    8.644982e-07    3.758036e-14   -3.702286e-14   -2.535097e-16   -6.910513e-15
   -3.150000e+00    8.928714e-01    1.642637e+00    1.327629e-05   -1.694757e-05    8.155889e-07    3.757750e-14   -3.700317e-14   -2.457226e-16   -6.908735e-15
   -3.140000e+00    8.928714e-01    1.634520e+00    1.326696e-05   -1.681485e-05    7.689340e-07    3.757478e-14   -3.698332e-14   -2.382019e-16   -6.906965e-15
   -3.130000e+00    8.928714e-01    1.626412e+00    1.325568e-05   -1.668223e-05    7.245257e-07    3.757217e-14   -3.696332e-14   -2.309380e-16   -6.905204e-15
   -3.120000e+00    8.928714e-01    1.618314e+00    1.324246e-05   -1.654974e-05    6.823449e-07    3.756968e-14   -3.694317e-14   -2.239214e-16   -6.903452e-15
   -3.110000e+00    8.928714e-01    1.610227e+00    1.322732e-05   -1.641739e-05    6.423615e-07    3.756731e-14   -3.692287e-14   -2.171431e-16   -6.901709e-15
   -3.100000e+00    8.928714e-01    1.602149e+00    1.321031e-05   -1.628520e-05    6.045351e-07    3.756503e-14   -3.690244e-14   -2.105944e-16   -6.899974e-15
   -3.090000e+00    8.928714e-01    1.594082e+00    1.319145e-05   -1.615319e-05    5.688159e-07    3.756286e-14   -3.688187e-14   -2.042668e-16   -6.898248e-15
   -3.080000e+00    8.928714e-01    1.586024e+00    1.317079e-05   -1.602138e-05    5.351458e-07    3.756078e-14   -3.686116e-14   -1.981523e-16   -6.896530e-15
   -3.070000e+00    8.928714e-01    1.577977e+00    1.314839e-05   -1.588978e-05    5.034592e-07    3.755880e-14   -3.684033e-14   -1.922431e-16   -6.894821e-15
   -3.060000e+00    8.928714e-01    1.569940e+00    1.312431e-05   -1.575842e-05    4.736845e-07    3.755690e-14   -3.681937e-14   -1.865317e-16   -6.893120e-15
   -3.050000e+00    8.928714e-01    1.561912e+00    1.309859e-05   -1.562730e-05    4.457450e-07    3.755509e-14   -3.679828e-14   -1.810109e-16   -6.891428e-15
   -3.040000e+00    8.928714e-01    1.553895e+00    1.307132e-05   -1.549645e-05    4.195606e-07    3.755335e-14   -3.677708e-14   -1.756737e-16   -6.889743e-15
   -3.030000e+00    8.928714e-01    1.545887e+00    1.304255e-05   -1.536588e-05    3.950482e-07    3.755169e-14   -3.675575e-14   -1.705135e-16   -6.888066e-15
   -3.020000e+00    8.928714e-01    1.537890e+00    1.301236e-05   -1.523560e-05    3.721234e-07    3.755010e-14   -3.673431e-14   -1.655237e-16   -6.886397e-15
   -3.010000e+00    8.928714e-01    1.529902e+00    1.298082e-05   -1.510564e-05    3.507013e-07    3.754858e-14   -3.671276e-14   -1.606983e-16   -6.884736e-15
   -3.000000e+00    8.928714e-01    1.521924e+00    1.294798e-05   -1.497599e-05    3.306974e-07    3.754712e-14   -3.669110e-14   -1.560313e-16   -6.883082e-15
   -2.990000e+00    8.928714e-01    1.513956e+00    1.291393e-05   -1.484668e-05    3.120282e-07    3.754572e-14   -3.666933e-14   -1.515170e-16   -6.881435e-15
   -2.980000e+00    8.928714e-01    1.505998e+00    1.287872e-05   -1.471772e-05    2.946121e-07    3.754438e-14   -3.664745e-14   -1.471498e-16   -6.879796e-15
   -2.970000e+00    8.928714e-01    1.498050e+00    1.284243e-05   -1.458911e-05    2.783701e-07    3.754309e-14   -3.662547e-14   -1.429244e-16   -6.878163e-15
   -2.960000e+00    8.928714e-01    1.490111e+00    1.280511e-05   -1.446087e-05    2.632256e-07    3.754185e-14   -3.660338e-14   -1.388358e-16   -6.876537e-15
   -2.950000e+00    8.928714e-01    1.482182e+00    1.276683e-05   -1.433301e-05    2.491055e-07    3.754065e-14   -3.658119e-14   -1.348791e-16   -6.874917e-15
   -2.940000e+00    8.928714e-01    1.474263e+00    1.272764e-05   -1.420554e-05    2.359399e-07    3.753951e-14   -3.655891e-14   -1.310495e-16   -6.873304e-15
   -2.930000e+00    8.928714e-01    1.466354e+00    1.268759e-05   -1.407846e-05    2.236625e-07    3.753840e-14   -3.653653e-14   -1.273425e-16   -6.871696e-15
   -2.920000e+00    8.928714e-01    1.458454e+00    1.264675e-05   -1.395179e-05    2.122106e-07    3.753733e-14   -3.651405e-14   -1.237537e-16   -6.870095e-15
   -2.910000e+00    8.928714e-01    1.450564e+00    1.260515e-05   -1.382553e-05    2.015252e-07    3.753630e-14   -3.649147e-14   -1.202790e-16   -6.868499e-15
   -2.900000e+00    8.928714e-01    1.442684e+00    1.256285e-05   -1.369969e-05    1.915509e-07    3.753530e-14   -3.646880e-14   -1.169143e-16   -6.866908e-15
   -2.890000e+00    8.928714e-01    1.434813e+00    1.251988e-05   -1.357427e-05    1.822359e-07    3.753433e-14   -3.644604e-14   -1.136557e-16   -6.865323e-15
   -2.880000e+00    8.928714e-01    1.426952e+00    1.247629e-05   -1.344929e-05    1.735318e-07    3.753339e-14   -3.642319e-14   -1.104994e-16   -6.863743e-15
   -2.870000e+00    8.928714e-01    1.419101e+00    1.243211e-05   -1.332475e-05    1.653935e-07    3.753248e-14   -3.640025e-14   -1.074420e-16   -6.862167e-15
   -2.860000e+00    8.928714e-01    1.411259e+00    1.238738e-05   -1.320065e-05    1.577791e-07    3.753159e-14   -3.637722e-14   -1.044799e-16   -6.860596e-15
   -2.850000e+00    8.928714e-01    1.403427e+00    1.234213e-05   -1.307700e-05    1.506499e-07    3.753072e-14   -3.635409e-14   -1.016097e-16   -6.859029e-15
   -2.840000e+00    8.928714e-01    1.395604e+00    1.229639e-05   -1.295381e-05    1.439698e-07    3.752987e-14   -3.633089e-14   -9.882841e-17   -6.857466e-15
   -2.830000e+00    8.928714e-01    1.387791e+00    1.225020e-05   -1.283108e-05    1.377055e-07    3.752903e-14   -3.630759e-14   -9.613278e-17   -6.855907e-15
   -2.820000e+00    8.928714e-01    1.379987e+00    1.220356e-05   -1.270881e-05    1.318264e-07    3.752821e-14   -3.628421e-14   -9.351991e-17   -6.854351e-15
   -2.810000e+00    8.928714e-01    1.372193e+00    1.215651e-05   -1.258701e-05    1.263038e-07    3.752741e-14   -3.626074e-14   -9.098692e-17   -6.852799e-15
   -2.800000e+00    8.928714e-01    1.364408e+00    1.210907e-05   -1.246568e-05    1.211118e-07    3.752661e-14   -3.623718e-14   -8.853108e-17   -6.851250e-15
   -2.790000e+00    8.928714e-01    1.356633e+00    1.206126e-05   -1.234483e-05    1.162261e-07    3.752582e-14   -3.621354e-14   -8.614974e-17   -6.849704e-15
   -2.780000e+00    8.928714e-01    1.348867e+00    1.201310e-05   -1.222446e-05    1.116243e-07    3.752504e-14   -3.618982e-14   -8.384036e-17   -6.848160e-15
   -2.770000e+00    8.928714e-01    1.341111e+00    1.196461e-05   -1.210457e-05    1.072861e-07    3.752426e-14   -3.616601e-14   -8.160048e-17   -6.846618e-15
   -2.760000e+00    8.928714e-01    1.333364e+00    1.191579e-05   -1.198516e-05    1.031925e-07    3.752349e-14   -3.614211e-14   -7.942776e-17   -6.845079e-15
   -2.750000e+00    8.928714e-01    1.325626e+00    1.186668e-05   -1.186625e-05    9.932602e-08    3.752272e-14   -3.611813e-14   -7.731992e-17   -6.843541e-15
   -2.740000e+00    8.928714e-01    1.317898e+00    1.181727e-05   -1.174783e-05    9.567067e-08    3.752194e-14   -3.609407e-14   -7.527476e-17   -6.842006e-15
   -2.730000e+00    8.928714e-01    1.310179e+00    1.176758e-05   -1.162991e-05    9.221166e-08    3.752117e-14   -3.606993e-14   -7.329020e-17   -6.840471e-15
   -2.720000e+00    8.928714e-01    1.302469e+00    1.171762e-05   -1.151248e-05    8.893538e-08    3.752039e-14   -3.604570e-14   -7.136419e-17   -6.838938e-15
   -2.710000e+00    8.928714e-01    1.294769e+00    1.166741e-05   -1.139556e-05    8.582925e-08    3.751960e-14   -3.602139e-14   -6.949479e-17   -6.837405e-15
   -2.700000e+00    8.928714e-01    1.287078e+00    1.161695e-05   -1.127913e-05    8.288172e-08    3.751881e-14   -3.599699e-14   -6.768012e-17   -6.835873e-15
   -2.690000e+00    8.928714e-01    1.279396e+00    1.156626e-05   -1.116322e-05    8.008211e-08    3.751801e-14   -3.597251e-14   -6.591836e-17   -6.834342e-15
   -2.680000e+00    8.928714e-01    1.271723e+00    1.151533e-05   -1.104781e-05    7.742058e-08    3.751720e-14   -3.594795e-14   -6.420776e-17   -6.832811e-15
   -2.670000e+00    8.928714e-01    1.264060e+00    1.146418e-05   -1.093291e-05    7.488803e-08    3.751638e-14   -3.592330e-14   -6.254665e-17   -6.831279e-15
   -2.660000e+00    8.928714e-01    1.256405e+00    1.141282e-05   -1.081853e-05    7.247608e-08    3.751554e-14   -3.589857e-14   -6.093340e-17   -6.829748e-15
   -2.650000e+00    8.928714e-01    1.248760e+00    1.136125e-05   -1.070466e-05    7.017697e-08    3.751469e-14   -3.587375e-14   -5.936646e-17   -6.828216e-15
   -2.640000e+00    8.928714e-01    1.241125e+00    1.130947e-05   -1.059130e-05    6.798354e-08    3.751383e-14   -3.584885e-14   -5.784431e-17   -6.826683e-15
   -2.630000e+00    8.928714e-01    1.233498e+00    1.125750e-05   -1.047847e-05    6.588915e-08    3.751294e-14   -3.582386e-14   -5.636550e-17   -6.825149e-15
   -2.620000e+00    8.928714e-01    1.225880e+00    1.120533e-05   -1.036615e-05    6.388767e-08    3.751204e-14   -3.579879e-14   -5.492863e-17   -6.823613e-15
   -2.610000e+00    8.928714e-01    1.218272e+00    1.115298e-05   -1.025436e-05    6.197342e-08    3.751111e-14   -3.577363e-14   -5.353236e-17   -6.822076e-15
   -2.600000e+00    8.928714e-01    1.210672e+00    1.110044e-05   -1.014309e-05    6.014114e-08    3.751017e-14   -3.574839e-14   -5.217539e-17   -6.820538e-15
   -2.590000e+00    8.928714e-01    1.203082e+00    1.104772e-05   -1.003235e-05    5.838593e-08    3.750920e-14   -3.572305e-14   -5.085645e-17   -6.818997e-15
   -2.580000e+00    8.928714e-01    1.195500e+00    1.099483e-05   -9.922140e-06    5.670328e-08    3.750820e-14   -3.569764e-14   -4.957434e-17   -6.817454e-15
   -2.570000e+00    8.928714e-01    1.187928e+00    1.094177e-05   -9.812457e-06    5.508897e-08    3.750719e-14   -3.567213e-14   -4.832789e-17   -6.815909e-15
   -2.560000e+00    8.928714e-01    1.180365e+00    1.088853e-05   -9.703306e-06    5.353909e-08    3.750614e-14   -3.564653e-14   -4.711598e-17   -6.814361e-15
   -2.550000e+00    8.928714e-01    1.172811e+00    1.083513e-05   -9.594687e-06    5.205001e-08    3.750506e-14   -3.562085e-14   -4.593752e-17   -6.812810e-15
   -2.540000e+00    8.928714e-01    1.165265e+00    1.078157e-05   -9.486603e-06    5.061834e-08    3.750396e-14   -3.559507e-14   -4.479146e-17   -6.811255e-15
   -2.530000e+00    8.928714e-01    1.157729e+00    1.072785e-05   -9.379056e-06    4.924095e-08    3.750282e-14   -3.556921e-14   -4.367678e-17   -6.809698e-15
   -2.520000e+00    8.928714e-01    1.150201e+00    1.067397e-05   -9.272047e-06    4.791488e-08    3.750165e-14   -3.554325e-14   -4.259252e-17   -6.808136e-15
   -2.510000e+00    8.928714e-01    1.142683e+00    1.061993e-05   -9.165577e-06    4.663740e-08    3.750045e-14   -3.551720e-14   -4.153773e-17   -6.806571e-15
   -2.500000e+00    8.928714e-01    1.135173e+00    1.056573e-05   -9.059649e-06    4.540597e-08    3.749921e-14   -3.549106e-14   -4.051150e-17   -6.805001e-15
   -2.490000e+00    8.928714e-01    1.127672e+00    1.051139e-05   -8.954263e-06    4.421818e-08    3.749794e-14   -3.546483e-14   -3.951295e-17   -6.803427e-15
   -2.480000e+00    8.928714e-01    1.120181e+00    1.045689e-05   -8.849422e-06    4.307182e-08    3.749662e-14   -3.543850e-14   -3.854123e-17   -6.801848e-15
   -2.470000e+00    8.928714e-01    1.112697e+00    1.040225e-05   -8.745126e-06    4.196480e-08    3.749527e-14   -3.541207e-14   -3.759553e-17   -6.800264e-15
   -2.460000e+00    8.928714e-01    1.105223e+00    1.034745e-05   -8.641377e-06    4.089516e-08    3.749388e-14   -3.538555e-14   -3.667505e-17   -6.798675e-15
   -2.450000e+00    8.928714e-01    1.097758e+00    1.029252e-05   -8.538177e-06    3.986109e-08    3.749245e-14   -3.535893e-14   -3.577902e-17   -6.797081e-15
   -2.440000e+00    8.928714e-01    1.090301e+00    1.023743e-05   -8.435527e-06    3.886085e-08    3.749097e-14   -3.533221e-14   -3.490672e-17   -6.795481e-15
   -2.430000e+00    8.928714e-01    1.082853e+00    1.018220e-05   -8.333429e-06    3.789285e-08    3.748945e-14   -3.530539e-14   -3.405743e-17   -6.793875e-15
   -2.420000e+00    8.928714e-01    1.075414e+00    1.012683e-05   -8.231884e-06    3.695558e-08    3.748789e-14   -3.527847e-14   -3.323045e-17   -6.792263e-15
   -2.410000e+00    8.928714e-01    1.067984e+00    1.007132e-05   -8.130893e-06    3.604762e-08    3.748627e-14   -3.525145e-14   -3.242513e-17   -6.790644e-15
   -2.400000e+00    8.928714e-01    1.060562e+00    1.001567e-05   -8.030458e-06    3.516764e-08    3.748461e-14   -3.522433e-14   -3.164081e-17   -6.789019e-15
   -2.390000e+00    8.928714e-01    1.053149e+00    9.959877e-06   -7.930580e-06    3.431438e-08    3.748290e-14   -3.519710e-14   -3.087688e-17   -6.787386e-15
   -2.380000e+00    8.928714e-01    1.045745e+00    9.903946e-06   -7.831261e-06    3.348667e-08    3.748114e-14   -3.516976e-14   -3.013273e-17   -6.785746e-15
   -2.370000e+00    8.928714e-01    1.038349e+00    9.847877e-06   -7.732502e-06    3.268339e-08    3.747933e-14   -3.514232e-14   -2.940779e-17   -6.784099e-15
   -2.360000e+00    8.928714e-01    1.030962e+00    9.791671e-06   -7.634304e-06    3.190350e-08    3.747746e-14   -3.511477e-14   -2.870148e-17   -6.782444e-15
   -2.350000e+00    8.928714e-01    1.023584e+00    9.735328e-06   -7.536669e-06    3.114601e-08    3.747554e-14   -3.508711e-14   -2.801327e-17   -6.780782e-15
   -2.340000e+00    8.928714e-01    1.016214e+00    9.678848e-06   -7.439598e-06    3.040998e-08    3.747357e-14   -3.505934e-14   -2.734263e-17   -6.779110e-15
   -2.330000e+00    8.928714e-01    1.008853e+00    9.622234e-06   -7.343092e-06    2.969455e-08    3.747153e-14   -3.503145e-14   -2.668905e-17   -6.777430e-15
