# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 85C
# W = 2.0 um
# L = 0.28 um (280 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    4.575145e-01    2.048280e+00    1.674848e+02    1.262666e+10    9.658550e-10    3.042938e-11    7.814325e-10    1.195641e-10   -3.300000e+00    7.694333e-01    1.899723e+00
    4.608211e-01    2.080069e+00    1.667186e+02    1.266823e+10    9.652075e-10    2.919443e-11    7.816655e-10    1.194024e-10   -3.290000e+00    7.694333e-01    1.893213e+00
    4.641693e-01    2.112678e+00    1.659483e+02    1.270959e+10    9.645790e-10    2.799569e-11    7.818835e-10    1.192441e-10   -3.280000e+00    7.694333e-01    1.886700e+00
    4.675509e-01    2.146132e+00    1.651770e+02    1.275075e+10    9.639685e-10    2.683266e-11    7.820860e-10    1.190892e-10   -3.270000e+00    7.694333e-01    1.880184e+00
    4.709689e-01    2.180458e+00    1.644038e+02    1.279169e+10    9.633770e-10    2.570481e-11    7.822740e-10    1.189376e-10   -3.260000e+00    7.694333e-01    1.873666e+00
    4.744239e-01    2.215683e+00    1.636284e+02    1.283240e+10    9.628035e-10    2.461158e-11    7.824475e-10    1.187894e-10   -3.250000e+00    7.694333e-01    1.867145e+00
    4.779159e-01    2.251833e+00    1.628511e+02    1.287287e+10    9.622480e-10    2.355237e-11    7.826065e-10    1.186444e-10   -3.240000e+00    7.694333e-01    1.860621e+00
    4.814451e-01    2.288938e+00    1.620719e+02    1.291310e+10    9.617100e-10    2.252656e-11    7.827515e-10    1.185026e-10   -3.230000e+00    7.694333e-01    1.854095e+00
    4.850115e-01    2.327025e+00    1.612906e+02    1.295306e+10    9.611895e-10    2.153349e-11    7.828830e-10    1.183641e-10   -3.220000e+00    7.694333e-01    1.847565e+00
    4.886161e-01    2.366123e+00    1.605073e+02    1.299276e+10    9.606855e-10    2.057248e-11    7.830010e-10    1.182288e-10   -3.210000e+00    7.694333e-01    1.841033e+00
    4.922580e-01    2.406260e+00    1.597220e+02    1.303217e+10    9.601985e-10    1.964286e-11    7.831065e-10    1.180965e-10   -3.200000e+00    7.694333e-01    1.834498e+00
    4.959376e-01    2.447464e+00    1.589348e+02    1.307128e+10    9.597275e-10    1.874391e-11    7.831990e-10    1.179673e-10   -3.190000e+00    7.694333e-01    1.827959e+00
    4.996551e-01    2.489765e+00    1.581456e+02    1.311008e+10    9.592730e-10    1.787490e-11    7.832795e-10    1.178412e-10   -3.180000e+00    7.694333e-01    1.821418e+00
    5.034106e-01    2.533193e+00    1.573545e+02    1.314856e+10    9.588335e-10    1.703512e-11    7.833480e-10    1.177180e-10   -3.170000e+00    7.694333e-01    1.814874e+00
    5.072037e-01    2.577774e+00    1.565614e+02    1.318670e+10    9.584095e-10    1.622383e-11    7.834050e-10    1.175977e-10   -3.160000e+00    7.694333e-01    1.808327e+00
    5.110348e-01    2.623537e+00    1.557663e+02    1.322447e+10    9.580005e-10    1.544027e-11    7.834505e-10    1.174803e-10   -3.150000e+00    7.694333e-01    1.801777e+00
    5.149036e-01    2.670509e+00    1.549693e+02    1.326188e+10    9.576055e-10    1.468372e-11    7.834855e-10    1.173657e-10   -3.140000e+00    7.694333e-01    1.795224e+00
    5.188097e-01    2.718716e+00    1.541704e+02    1.329888e+10    9.572250e-10    1.395341e-11    7.835095e-10    1.172539e-10   -3.130000e+00    7.694333e-01    1.788667e+00
    5.227532e-01    2.768185e+00    1.533696e+02    1.333548e+10    9.568580e-10    1.324862e-11    7.835235e-10    1.171447e-10   -3.120000e+00    7.694333e-01    1.782108e+00
    5.267333e-01    2.818938e+00    1.525670e+02    1.337163e+10    9.565045e-10    1.256860e-11    7.835270e-10    1.170382e-10   -3.110000e+00    7.694333e-01    1.775546e+00
    5.307509e-01    2.871000e+00    1.517624e+02    1.340734e+10    9.561635e-10    1.191260e-11    7.835215e-10    1.169342e-10   -3.100000e+00    7.694333e-01    1.768980e+00
    5.348047e-01    2.924392e+00    1.509560e+02    1.344257e+10    9.558355e-10    1.127991e-11    7.835065e-10    1.168327e-10   -3.090000e+00    7.694333e-01    1.762412e+00
    5.388942e-01    2.979131e+00    1.501478e+02    1.347731e+10    9.555190e-10    1.066982e-11    7.834820e-10    1.167338e-10   -3.080000e+00    7.694333e-01    1.755840e+00
    5.430193e-01    3.035233e+00    1.493377e+02    1.351150e+10    9.552150e-10    1.008160e-11    7.834490e-10    1.166371e-10   -3.070000e+00    7.694333e-01    1.749265e+00
    5.471797e-01    3.092716e+00    1.485259e+02    1.354517e+10    9.549220e-10    9.514550e-12    7.834080e-10    1.165428e-10   -3.060000e+00    7.694333e-01    1.742686e+00
    5.513745e-01    3.151589e+00    1.477123e+02    1.357825e+10    9.546400e-10    8.967990e-12    7.833585e-10    1.164508e-10   -3.050000e+00    7.694333e-01    1.736105e+00
    5.556032e-01    3.211860e+00    1.468970e+02    1.361073e+10    9.543690e-10    8.441245e-12    7.833010e-10    1.163610e-10   -3.040000e+00    7.694333e-01    1.729520e+00
    5.598651e-01    3.273532e+00    1.460800e+02    1.364259e+10    9.541080e-10    7.933650e-12    7.832355e-10    1.162734e-10   -3.030000e+00    7.694333e-01    1.722932e+00
    5.641599e-01    3.336612e+00    1.452613e+02    1.367379e+10    9.538570e-10    7.444555e-12    7.831630e-10    1.161878e-10   -3.020000e+00    7.694333e-01    1.716341e+00
    5.684868e-01    3.401095e+00    1.444410e+02    1.370433e+10    9.536155e-10    6.973330e-12    7.830835e-10    1.161043e-10   -3.010000e+00    7.694333e-01    1.709746e+00
    5.728450e-01    3.466974e+00    1.436191e+02    1.373415e+10    9.533835e-10    6.519355e-12    7.829970e-10    1.160228e-10   -3.000000e+00    7.694333e-01    1.703148e+00
    5.772337e-01    3.534240e+00    1.427956e+02    1.376324e+10    9.531600e-10    6.082025e-12    7.829035e-10    1.159431e-10   -2.990000e+00    7.694333e-01    1.696547e+00
    5.816523e-01    3.602881e+00    1.419706e+02    1.379157e+10    9.529455e-10    5.660750e-12    7.828040e-10    1.158653e-10   -2.980000e+00    7.694333e-01    1.689942e+00
    5.861002e-01    3.672878e+00    1.411440e+02    1.381913e+10    9.527390e-10    5.254965e-12    7.826980e-10    1.157894e-10   -2.970000e+00    7.694333e-01    1.683334e+00
    5.905768e-01    3.744211e+00    1.403160e+02    1.384587e+10    9.525410e-10    4.864108e-12    7.825860e-10    1.157152e-10   -2.960000e+00    7.694333e-01    1.676722e+00
    5.950807e-01    3.816851e+00    1.394867e+02    1.387178e+10    9.523500e-10    4.487640e-12    7.824685e-10    1.156427e-10   -2.950000e+00    7.694333e-01    1.670107e+00
    5.996126e-01    3.890775e+00    1.386560e+02    1.389685e+10    9.521670e-10    4.125037e-12    7.823450e-10    1.155718e-10   -2.940000e+00    7.694333e-01    1.663488e+00
    6.041706e-01    3.965946e+00    1.378239e+02    1.392103e+10    9.519910e-10    3.775792e-12    7.822160e-10    1.155025e-10   -2.930000e+00    7.694333e-01    1.656866e+00
    6.087549e-01    4.042333e+00    1.369906e+02    1.394434e+10    9.518215e-10    3.439410e-12    7.820820e-10    1.154347e-10   -2.920000e+00    7.694333e-01    1.650240e+00
    6.133650e-01    4.119897e+00    1.361561e+02    1.396674e+10    9.516585e-10    3.115415e-12    7.819430e-10    1.153685e-10   -2.910000e+00    7.694333e-01    1.643610e+00
    6.180002e-01    4.198600e+00    1.353204e+02    1.398821e+10    9.515020e-10    2.803346e-12    7.817985e-10    1.153038e-10   -2.900000e+00    7.694333e-01    1.636977e+00
    6.226604e-01    4.278398e+00    1.344835e+02    1.400875e+10    9.513515e-10    2.502757e-12    7.816500e-10    1.152404e-10   -2.890000e+00    7.694333e-01    1.630341e+00
    6.273454e-01    4.359252e+00    1.336456e+02    1.402835e+10    9.512070e-10    2.213215e-12    7.814965e-10    1.151783e-10   -2.880000e+00    7.694333e-01    1.623700e+00
    6.320547e-01    4.441115e+00    1.328067e+02    1.404700e+10    9.510675e-10    1.934307e-12    7.813385e-10    1.151176e-10   -2.870000e+00    7.694333e-01    1.617056e+00
    6.367886e-01    4.523946e+00    1.319668e+02    1.406468e+10    9.509335e-10    1.665628e-12    7.811760e-10    1.150582e-10   -2.860000e+00    7.694333e-01    1.610408e+00
    6.415467e-01    4.607701e+00    1.311260e+02    1.408140e+10    9.508050e-10    1.406792e-12    7.810095e-10    1.149999e-10   -2.850000e+00    7.694333e-01    1.603757e+00
    6.463294e-01    4.692337e+00    1.302844e+02    1.409715e+10    9.506810e-10    1.157424e-12    7.808390e-10    1.149429e-10   -2.840000e+00    7.694333e-01    1.597101e+00
    6.511369e-01    4.777816e+00    1.294419e+02    1.411195e+10    9.505615e-10    9.171625e-13    7.806645e-10    1.148870e-10   -2.830000e+00    7.694333e-01    1.590442e+00
    6.559697e-01    4.864097e+00    1.285987e+02    1.412578e+10    9.504470e-10    6.856620e-13    7.804860e-10    1.148321e-10   -2.820000e+00    7.694333e-01    1.583779e+00
    6.608276e-01    4.951139e+00    1.277548e+02    1.413866e+10    9.503360e-10    4.625873e-13    7.803040e-10    1.147783e-10   -2.810000e+00    7.694333e-01    1.577112e+00
    6.657118e-01    5.038912e+00    1.269103e+02    1.415059e+10    9.502295e-10    2.476158e-13    7.801180e-10    1.147257e-10   -2.800000e+00    7.694333e-01    1.570441e+00
    6.706222e-01    5.127379e+00    1.260651e+02    1.416156e+10    9.501270e-10    4.043739e-14    7.799290e-10    1.146739e-10   -2.790000e+00    7.694333e-01    1.563767e+00
