# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 85C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.596808e-01    4.888446e+00    1.680377e+01    1.862544e+08    9.472270e-09    1.190561e-10    9.345685e-09    1.729705e-09   -3.300000e+00    8.338119e-01    1.857859e+00
    6.650541e-01    5.054574e+00    1.669292e+01    1.865658e+08    9.470600e-09    1.152298e-10    9.341920e-09    1.729228e-09   -3.290000e+00    8.338119e-01    1.849408e+00
    6.704848e-01    5.230452e+00    1.658174e+01    1.868681e+08    9.469000e-09    1.115353e-10    9.338090e-09    1.728751e-09   -3.280000e+00    8.338119e-01    1.840968e+00
    6.759615e-01    5.416815e+00    1.647048e+01    1.871608e+08    9.467460e-09    1.079681e-10    9.334180e-09    1.728274e-09   -3.270000e+00    8.338119e-01    1.832538e+00
    6.814856e-01    5.614458e+00    1.635907e+01    1.874433e+08    9.465980e-09    1.045240e-10    9.330210e-09    1.727799e-09   -3.260000e+00    8.338119e-01    1.824118e+00
    6.870555e-01    5.824251e+00    1.624751e+01    1.877148e+08    9.464560e-09    1.011985e-10    9.326165e-09    1.727324e-09   -3.250000e+00    8.338119e-01    1.815708e+00
    6.926694e-01    6.047119e+00    1.613582e+01    1.879745e+08    9.463200e-09    9.798770e-11    9.322060e-09    1.726850e-09   -3.240000e+00    8.338119e-01    1.807309e+00
    6.983243e-01    6.284066e+00    1.602398e+01    1.882217e+08    9.461890e-09    9.488760e-11    9.317890e-09    1.726378e-09   -3.230000e+00    8.338119e-01    1.798920e+00
    7.040181e-01    6.536171e+00    1.591202e+01    1.884556e+08    9.460635e-09    9.189425e-11    9.313665e-09    1.725906e-09   -3.220000e+00    8.338119e-01    1.790541e+00
    7.097482e-01    6.804601e+00    1.579994e+01    1.886752e+08    9.459430e-09    8.900395e-11    9.309375e-09    1.725436e-09   -3.210000e+00    8.338119e-01    1.782173e+00
    7.155110e-01    7.090591e+00    1.568774e+01    1.888795e+08    9.458275e-09    8.621305e-11    9.305035e-09    1.724968e-09   -3.200000e+00    8.338119e-01    1.773814e+00
    7.213030e-01    7.395476e+00    1.557545e+01    1.890677e+08    9.457165e-09    8.351810e-11    9.300635e-09    1.724501e-09   -3.190000e+00    8.338119e-01    1.765466e+00
    7.271215e-01    7.720679e+00    1.546306e+01    1.892389e+08    9.456100e-09    8.091560e-11    9.296185e-09    1.724035e-09   -3.180000e+00    8.338119e-01    1.757128e+00
    7.329624e-01    8.067699e+00    1.535058e+01    1.893919e+08    9.455080e-09    7.840235e-11    9.291680e-09    1.723571e-09   -3.170000e+00    8.338119e-01    1.748800e+00
    7.388216e-01    8.438138e+00    1.523803e+01    1.895258e+08    9.454100e-09    7.597510e-11    9.287130e-09    1.723109e-09   -3.160000e+00    8.338119e-01    1.740482e+00
    7.446950e-01    8.833680e+00    1.512542e+01    1.896396e+08    9.453160e-09    7.363085e-11    9.282525e-09    1.722649e-09   -3.150000e+00    8.338119e-01    1.732174e+00
    7.505788e-01    9.256088e+00    1.501276e+01    1.897323e+08    9.452255e-09    7.136655e-11    9.277880e-09    1.722190e-09   -3.140000e+00    8.338119e-01    1.723876e+00
    7.564683e-01    9.707206e+00    1.490006e+01    1.898030e+08    9.451390e-09    6.917935e-11    9.273185e-09    1.721734e-09   -3.130000e+00    8.338119e-01    1.715589e+00
    7.623594e-01    1.018895e+01    1.478733e+01    1.898507e+08    9.450560e-09    6.706650e-11    9.268450e-09    1.721279e-09   -3.120000e+00    8.338119e-01    1.707311e+00
    7.682474e-01    1.070328e+01    1.467460e+01    1.898745e+08    9.449760e-09    6.502535e-11    9.263670e-09    1.720827e-09   -3.110000e+00    8.338119e-01    1.699043e+00
    7.741288e-01    1.125223e+01    1.456186e+01    1.898736e+08    9.448995e-09    6.305325e-11    9.258850e-09    1.720376e-09   -3.100000e+00    8.338119e-01    1.690785e+00
    7.799991e-01    1.183783e+01    1.444915e+01    1.898473e+08    9.448265e-09    6.114780e-11    9.253985e-09    1.719927e-09   -3.090000e+00    8.338119e-01    1.682537e+00
    7.858544e-01    1.246216e+01    1.433646e+01    1.897949e+08    9.447560e-09    5.930650e-11    9.249085e-09    1.719480e-09   -3.080000e+00    8.338119e-01    1.674299e+00
    7.916918e-01    1.312725e+01    1.422382e+01    1.897161e+08    9.446880e-09    5.752710e-11    9.244145e-09    1.719035e-09   -3.070000e+00    8.338119e-01    1.666071e+00
    7.975073e-01    1.383513e+01    1.411125e+01    1.896102e+08    9.446230e-09    5.580730e-11    9.239170e-09    1.718592e-09   -3.060000e+00    8.338119e-01    1.657853e+00
    8.032989e-01    1.458774e+01    1.399875e+01    1.894770e+08    9.445610e-09    5.414505e-11    9.234155e-09    1.718151e-09   -3.050000e+00    8.338119e-01    1.649644e+00
    8.090636e-01    1.538698e+01    1.388635e+01    1.893165e+08    9.445010e-09    5.253820e-11    9.229110e-09    1.717712e-09   -3.040000e+00    8.338119e-01    1.641446e+00
    8.147993e-01    1.623459e+01    1.377406e+01    1.891285e+08    9.444430e-09    5.098475e-11    9.224025e-09    1.717275e-09   -3.030000e+00    8.338119e-01    1.633257e+00
    8.205051e-01    1.713218e+01    1.366190e+01    1.889131e+08    9.443875e-09    4.948284e-11    9.218910e-09    1.716840e-09   -3.020000e+00    8.338119e-01    1.625078e+00
    8.261803e-01    1.808122e+01    1.354987e+01    1.886706e+08    9.443345e-09    4.803056e-11    9.213760e-09    1.716407e-09   -3.010000e+00    8.338119e-01    1.616909e+00
    8.318236e-01    1.908297e+01    1.343801e+01    1.884013e+08    9.442830e-09    4.662614e-11    9.208580e-09    1.715975e-09   -3.000000e+00    8.338119e-01    1.608750e+00
    8.374356e-01    2.013844e+01    1.332632e+01    1.881058e+08    9.442335e-09    4.526785e-11    9.203370e-09    1.715545e-09   -2.990000e+00    8.338119e-01    1.600600e+00
    8.430167e-01    2.124846e+01    1.321482e+01    1.877845e+08    9.441860e-09    4.395406e-11    9.198125e-09    1.715117e-09   -2.980000e+00    8.338119e-01    1.592460e+00
    8.485681e-01    2.241353e+01    1.310352e+01    1.874383e+08    9.441400e-09    4.268314e-11    9.192855e-09    1.714691e-09   -2.970000e+00    8.338119e-01    1.584330e+00
    8.540909e-01    2.363398e+01    1.299244e+01    1.870676e+08    9.440960e-09    4.145359e-11    9.187555e-09    1.714267e-09   -2.960000e+00    8.338119e-01    1.576209e+00
