# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: -40 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    8.413770e-01    1.847540e+00    3.892948e-05   -6.405025e-05    8.740576e-06    1.663099e-14   -1.640298e-14   -2.562239e-16   -2.863834e-15
   -3.290000e+00    8.413770e-01    1.839172e+00    3.903840e-05   -6.366095e-05    8.476695e-06    1.662755e-14   -1.639811e-14   -2.477469e-16   -2.863099e-15
   -3.280000e+00    8.413770e-01    1.830813e+00    3.914560e-05   -6.326949e-05    8.214423e-06    1.662427e-14   -1.639308e-14   -2.395640e-16   -2.862363e-15
   -3.270000e+00    8.413770e-01    1.822464e+00    3.925093e-05   -6.287750e-05    7.953950e-06    1.662113e-14   -1.638790e-14   -2.316656e-16   -2.861624e-15
   -3.260000e+00    8.413770e-01    1.814125e+00    3.935422e-05   -6.248447e-05    7.695477e-06    1.661813e-14   -1.638257e-14   -2.240422e-16   -2.860884e-15
   -3.250000e+00    8.413770e-01    1.805795e+00    3.945528e-05   -6.209042e-05    7.439220e-06    1.661527e-14   -1.637710e-14   -2.166848e-16   -2.860143e-15
   -3.240000e+00    8.413770e-01    1.797474e+00    3.955395e-05   -6.169538e-05    7.185404e-06    1.661254e-14   -1.637148e-14   -2.095844e-16   -2.859402e-15
   -3.230000e+00    8.413770e-01    1.789163e+00    3.965001e-05   -6.129935e-05    6.934266e-06    1.660994e-14   -1.636574e-14   -2.027324e-16   -2.858660e-15
   -3.220000e+00    8.413770e-01    1.780861e+00    3.974328e-05   -6.090239e-05    6.686054e-06    1.660746e-14   -1.635986e-14   -1.961201e-16   -2.857918e-15
   -3.210000e+00    8.413770e-01    1.772569e+00    3.983352e-05   -6.050450e-05    6.441027e-06    1.660510e-14   -1.635386e-14   -1.897394e-16   -2.857177e-15
   -3.200000e+00    8.413770e-01    1.764286e+00    3.992053e-05   -6.010573e-05    6.199449e-06    1.660285e-14   -1.634773e-14   -1.835822e-16   -2.856436e-15
   -3.190000e+00    8.413770e-01    1.756012e+00    4.000408e-05   -5.970610e-05    5.961594e-06    1.660072e-14   -1.634149e-14   -1.776407e-16   -2.855697e-15
   -3.180000e+00    8.413770e-01    1.747748e+00    4.008394e-05   -5.930566e-05    5.727739e-06    1.659869e-14   -1.633514e-14   -1.719074e-16   -2.854959e-15
   -3.170000e+00    8.413770e-01    1.739492e+00    4.015987e-05   -5.890443e-05    5.498166e-06    1.659676e-14   -1.632868e-14   -1.663749e-16   -2.854222e-15
   -3.160000e+00    8.413770e-01    1.731246e+00    4.023164e-05   -5.850247e-05    5.273154e-06    1.659494e-14   -1.632211e-14   -1.610360e-16   -2.853488e-15
   -3.150000e+00    8.413770e-01    1.723010e+00    4.029902e-05   -5.809982e-05    5.052981e-06    1.659321e-14   -1.631544e-14   -1.558840e-16   -2.852755e-15
