# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: -40 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    8.391262e-01    1.831337e+00    2.481932e-05   -3.987629e-05    4.958645e-06    2.647918e-14   -2.625373e-14   -3.963097e-16   -4.615191e-15
   -3.290000e+00    8.391262e-01    1.822980e+00    2.488450e-05   -3.962810e-05    4.793248e-06    2.647375e-14   -2.624526e-14   -3.831074e-16   -4.613988e-15
   -3.280000e+00    8.391262e-01    1.814633e+00    2.494831e-05   -3.937861e-05    4.629190e-06    2.646857e-14   -2.623654e-14   -3.703679e-16   -4.612781e-15
   -3.270000e+00    8.391262e-01    1.806296e+00    2.501065e-05   -3.912881e-05    4.466612e-06    2.646362e-14   -2.622757e-14   -3.580758e-16   -4.611572e-15
   -3.260000e+00    8.391262e-01    1.797968e+00    2.507140e-05   -3.887840e-05    4.305662e-06    2.645890e-14   -2.621838e-14   -3.462162e-16   -4.610362e-15
   -3.250000e+00    8.391262e-01    1.789651e+00    2.513042e-05   -3.862739e-05    4.146494e-06    2.645439e-14   -2.620897e-14   -3.347744e-16   -4.609151e-15
   -3.240000e+00    8.391262e-01    1.781343e+00    2.518759e-05   -3.837580e-05    3.989270e-06    2.645009e-14   -2.619933e-14   -3.237361e-16   -4.607940e-15
   -3.230000e+00    8.391262e-01    1.773046e+00    2.524277e-05   -3.812364e-05    3.834159e-06    2.644599e-14   -2.618949e-14   -3.130874e-16   -4.606729e-15
   -3.220000e+00    8.391262e-01    1.764757e+00    2.529581e-05   -3.787095e-05    3.681335e-06    2.644209e-14   -2.617944e-14   -3.028148e-16   -4.605519e-15
   -3.210000e+00    8.391262e-01    1.756479e+00    2.534657e-05   -3.761774e-05    3.530974e-06    2.643838e-14   -2.616921e-14   -2.929051e-16   -4.604310e-15
   -3.200000e+00    8.391262e-01    1.748211e+00    2.539490e-05   -3.736403e-05    3.383258e-06    2.643485e-14   -2.615878e-14   -2.833456e-16   -4.603104e-15
   -3.190000e+00    8.391262e-01    1.739952e+00    2.544065e-05   -3.710985e-05    3.238369e-06    2.643149e-14   -2.614817e-14   -2.741238e-16   -4.601899e-15
   -3.180000e+00    8.391262e-01    1.731702e+00    2.548367e-05   -3.685522e-05    3.096489e-06    2.642830e-14   -2.613738e-14   -2.652277e-16   -4.600698e-15
   -3.170000e+00    8.391262e-01    1.723463e+00    2.552380e-05   -3.660018e-05    2.957797e-06    2.642527e-14   -2.612643e-14   -2.566457e-16   -4.599499e-15
   -3.160000e+00    8.391262e-01    1.715233e+00    2.556091e-05   -3.634476e-05    2.822470e-06    2.642239e-14   -2.611531e-14   -2.483665e-16   -4.598304e-15
   -3.150000e+00    8.391262e-01    1.707013e+00    2.559484e-05   -3.608898e-05    2.690675e-06    2.641967e-14   -2.610403e-14   -2.403792e-16   -4.597112e-15
   -3.140000e+00    8.391262e-01    1.698802e+00    2.562548e-05   -3.583287e-05    2.562573e-06    2.641709e-14   -2.609260e-14   -2.326732e-16   -4.595925e-15
   -3.130000e+00    8.391262e-01    1.690601e+00    2.565268e-05   -3.557648e-05    2.438312e-06    2.641465e-14   -2.608102e-14   -2.252383e-16   -4.594742e-15
   -3.120000e+00    8.391262e-01    1.682409e+00    2.567634e-05   -3.531983e-05    2.318026e-06    2.641234e-14   -2.606930e-14   -2.180646e-16   -4.593563e-15
   -3.110000e+00    8.391262e-01    1.674227e+00    2.569635e-05   -3.506296e-05    2.201833e-06    2.641015e-14   -2.605744e-14   -2.111425e-16   -4.592389e-15
   -3.100000e+00    8.391262e-01    1.666055e+00    2.571264e-05   -3.480591e-05    2.089835e-06    2.640809e-14   -2.604544e-14   -2.044628e-16   -4.591220e-15
   -3.090000e+00    8.391262e-01    1.657892e+00    2.572511e-05   -3.454872e-05    1.982112e-06    2.640615e-14   -2.603332e-14   -1.980167e-16   -4.590056e-15
   -3.080000e+00    8.391262e-01    1.649738e+00    2.573373e-05   -3.429143e-05    1.878724e-06    2.640432e-14   -2.602107e-14   -1.917955e-16   -4.588897e-15
   -3.070000e+00    8.391262e-01    1.641594e+00    2.573845e-05   -3.403406e-05    1.779707e-06    2.640260e-14   -2.600869e-14   -1.857910e-16   -4.587743e-15
   -3.060000e+00    8.391262e-01    1.633459e+00    2.573926e-05   -3.377667e-05    1.685077e-06    2.640098e-14   -2.599620e-14   -1.799951e-16   -4.586595e-15
   -3.050000e+00    8.391262e-01    1.625334e+00    2.573616e-05   -3.351929e-05    1.594825e-06    2.639946e-14   -2.598360e-14   -1.744002e-16   -4.585452e-15
   -3.040000e+00    8.391262e-01    1.617218e+00    2.572916e-05   -3.326196e-05    1.508920e-06    2.639803e-14   -2.597089e-14   -1.689989e-16   -4.584315e-15
   -3.030000e+00    8.391262e-01    1.609112e+00    2.571830e-05   -3.300472e-05    1.427310e-06    2.639670e-14   -2.595806e-14   -1.637839e-16   -4.583183e-15
   -3.020000e+00    8.391262e-01    1.601014e+00    2.570364e-05   -3.274761e-05    1.349924e-06    2.639545e-14   -2.594514e-14   -1.587485e-16   -4.582056e-15
   -3.010000e+00    8.391262e-01    1.592927e+00    2.568525e-05   -3.249066e-05    1.276668e-06    2.639429e-14   -2.593211e-14   -1.538859e-16   -4.580935e-15
   -3.000000e+00    8.391262e-01    1.584848e+00    2.566320e-05   -3.223391e-05    1.207436e-06    2.639320e-14   -2.591898e-14   -1.491898e-16   -4.579819e-15
   -2.990000e+00    8.391262e-01    1.576779e+00    2.563760e-05   -3.197741e-05    1.142105e-06    2.639219e-14   -2.590576e-14   -1.446540e-16   -4.578709e-15
   -2.980000e+00    8.391262e-01    1.568719e+00    2.560854e-05   -3.172117e-05    1.080539e-06    2.639126e-14   -2.589244e-14   -1.402726e-16   -4.577605e-15
   -2.970000e+00    8.391262e-01    1.560668e+00    2.557615e-05   -3.146525e-05    1.022594e-06    2.639039e-14   -2.587904e-14   -1.360400e-16   -4.576506e-15
   -2.960000e+00    8.391262e-01    1.552627e+00    2.554054e-05   -3.120966e-05    9.681165e-07    2.638958e-14   -2.586554e-14   -1.319505e-16   -4.575412e-15
   -2.950000e+00    8.391262e-01    1.544594e+00    2.550184e-05   -3.095445e-05    9.169489e-07    2.638884e-14   -2.585196e-14   -1.279990e-16   -4.574324e-15
   -2.940000e+00    8.391262e-01    1.536571e+00    2.546019e-05   -3.069963e-05    8.689294e-07    2.638816e-14   -2.583829e-14   -1.241804e-16   -4.573241e-15
   -2.930000e+00    8.391262e-01    1.528557e+00    2.541570e-05   -3.044525e-05    8.238950e-07    2.638754e-14   -2.582455e-14   -1.204897e-16   -4.572163e-15
   -2.920000e+00    8.391262e-01    1.520552e+00    2.536851e-05   -3.019133e-05    7.816832e-07    2.638697e-14   -2.581072e-14   -1.169224e-16   -4.571090e-15
   -2.910000e+00    8.391262e-01    1.512557e+00    2.531876e-05   -2.993789e-05    7.421332e-07    2.638645e-14   -2.579681e-14   -1.134738e-16   -4.570022e-15
   -2.900000e+00    8.391262e-01    1.504570e+00    2.526656e-05   -2.968496e-05    7.050876e-07    2.638598e-14   -2.578283e-14   -1.101396e-16   -4.568959e-15
   -2.890000e+00    8.391262e-01    1.496592e+00    2.521205e-05   -2.943257e-05    6.703931e-07    2.638556e-14   -2.576877e-14   -1.069157e-16   -4.567901e-15
   -2.880000e+00    8.391262e-01    1.488624e+00    2.515533e-05   -2.918073e-05    6.379017e-07    2.638518e-14   -2.575464e-14   -1.037980e-16   -4.566847e-15
   -2.870000e+00    8.391262e-01    1.480665e+00    2.509654e-05   -2.892947e-05    6.074713e-07    2.638484e-14   -2.574044e-14   -1.007827e-16   -4.565798e-15
   -2.860000e+00    8.391262e-01    1.472714e+00    2.503577e-05   -2.867880e-05    5.789660e-07    2.638454e-14   -2.572616e-14   -9.786599e-17   -4.564754e-15
   -2.850000e+00    8.391262e-01    1.464773e+00    2.497314e-05   -2.842876e-05    5.522566e-07    2.638428e-14   -2.571182e-14   -9.504440e-17   -4.563714e-15
   -2.840000e+00    8.391262e-01    1.456840e+00    2.490874e-05   -2.817935e-05    5.272207e-07    2.638405e-14   -2.569741e-14   -9.231445e-17   -4.562678e-15
   -2.830000e+00    8.391262e-01    1.448917e+00    2.484267e-05   -2.793059e-05    5.037431e-07    2.638385e-14   -2.568293e-14   -8.967284e-17   -4.561646e-15
   -2.820000e+00    8.391262e-01    1.441002e+00    2.477501e-05   -2.768250e-05    4.817151e-07    2.638368e-14   -2.566838e-14   -8.711639e-17   -4.560618e-15
   -2.810000e+00    8.391262e-01    1.433097e+00    2.470586e-05   -2.743509e-05    4.610351e-07    2.638354e-14   -2.565377e-14   -8.464204e-17   -4.559594e-15
   -2.800000e+00    8.391262e-01    1.425200e+00    2.463529e-05   -2.718839e-05    4.416079e-07    2.638343e-14   -2.563909e-14   -8.224687e-17   -4.558574e-15
   -2.790000e+00    8.391262e-01    1.417312e+00    2.456337e-05   -2.694239e-05    4.233449e-07    2.638334e-14   -2.562436e-14   -7.992805e-17   -4.557557e-15
   -2.780000e+00    8.391262e-01    1.409433e+00    2.449016e-05   -2.669712e-05    4.061633e-07    2.638328e-14   -2.560955e-14   -7.768286e-17   -4.556544e-15
   -2.770000e+00    8.391262e-01    1.401563e+00    2.441574e-05   -2.645259e-05    3.899863e-07    2.638323e-14   -2.559469e-14   -7.550868e-17   -4.555533e-15
   -2.760000e+00    8.391262e-01    1.393702e+00    2.434016e-05   -2.620881e-05    3.747427e-07    2.638321e-14   -2.557977e-14   -7.340301e-17   -4.554526e-15
   -2.750000e+00    8.391262e-01    1.385850e+00    2.426348e-05   -2.596579e-05    3.603664e-07    2.638320e-14   -2.556478e-14   -7.136343e-17   -4.553522e-15
   -2.740000e+00    8.391262e-01    1.378006e+00    2.418574e-05   -2.572355e-05    3.467960e-07    2.638321e-14   -2.554974e-14   -6.938762e-17   -4.552521e-15
   -2.730000e+00    8.391262e-01    1.370171e+00    2.410700e-05   -2.548208e-05    3.339750e-07    2.638323e-14   -2.553464e-14   -6.747334e-17   -4.551522e-15
   -2.720000e+00    8.391262e-01    1.362345e+00    2.402729e-05   -2.524141e-05    3.218509e-07    2.638327e-14   -2.551947e-14   -6.561844e-17   -4.550526e-15
   -2.710000e+00    8.391262e-01    1.354527e+00    2.394666e-05   -2.500154e-05    3.103754e-07    2.638331e-14   -2.550425e-14   -6.382085e-17   -4.549532e-15
