# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: -40C
# W = 2.0 um
# L = 0.28 um (280 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    4.302714e-01    2.064106e+00    2.439287e+02    1.700583e+10    9.822630e-10    2.977556e-11    7.972080e-10    1.114340e-10   -3.300000e+00    7.878392e-01    1.789099e+00
    4.336091e-01    2.098281e+00    2.428792e+02    1.707479e+10    9.816425e-10    2.853665e-11    7.974990e-10    1.112936e-10   -3.290000e+00    7.878392e-01    1.782868e+00
    4.369847e-01    2.133266e+00    2.418224e+02    1.714334e+10    9.810415e-10    2.733420e-11    7.977745e-10    1.111561e-10   -3.280000e+00    7.878392e-01    1.776635e+00
    4.403887e-01    2.169081e+00    2.407639e+02    1.721149e+10    9.804585e-10    2.616770e-11    7.980340e-10    1.110215e-10   -3.270000e+00    7.878392e-01    1.770400e+00
    4.438244e-01    2.205741e+00    2.397018e+02    1.727918e+10    9.798950e-10    2.503661e-11    7.982790e-10    1.108897e-10   -3.260000e+00    7.878392e-01    1.764164e+00
    4.472911e-01    2.243259e+00    2.386362e+02    1.734640e+10    9.793490e-10    2.394035e-11    7.985085e-10    1.107609e-10   -3.250000e+00    7.878392e-01    1.757927e+00
    4.507893e-01    2.281652e+00    2.375670e+02    1.741311e+10    9.788215e-10    2.287830e-11    7.987235e-10    1.106348e-10   -3.240000e+00    7.878392e-01    1.751688e+00
    4.543183e-01    2.320931e+00    2.364943e+02    1.747929e+10    9.783120e-10    2.184983e-11    7.989245e-10    1.105115e-10   -3.230000e+00    7.878392e-01    1.745447e+00
    4.578782e-01    2.361109e+00    2.354182e+02    1.754492e+10    9.778195e-10    2.085426e-11    7.991115e-10    1.103911e-10   -3.220000e+00    7.878392e-01    1.739205e+00
    4.614686e-01    2.402198e+00    2.343385e+02    1.760995e+10    9.773445e-10    1.989092e-11    7.992845e-10    1.102732e-10   -3.210000e+00    7.878392e-01    1.732961e+00
    4.650892e-01    2.444208e+00    2.332554e+02    1.767438e+10    9.768860e-10    1.895910e-11    7.994450e-10    1.101582e-10   -3.200000e+00    7.878392e-01    1.726715e+00
    4.687396e-01    2.487146e+00    2.321688e+02    1.773814e+10    9.764445e-10    1.805809e-11    7.995920e-10    1.100457e-10   -3.190000e+00    7.878392e-01    1.720468e+00
    4.724195e-01    2.531022e+00    2.310789e+02    1.780123e+10    9.760185e-10    1.718715e-11    7.997270e-10    1.099359e-10   -3.180000e+00    7.878392e-01    1.714219e+00
    4.761287e-01    2.575842e+00    2.299855e+02    1.786362e+10    9.756085e-10    1.634555e-11    7.998495e-10    1.098287e-10   -3.170000e+00    7.878392e-01    1.707968e+00
    4.798669e-01    2.621611e+00    2.288888e+02    1.792527e+10    9.752135e-10    1.553254e-11    7.999600e-10    1.097240e-10   -3.160000e+00    7.878392e-01    1.701716e+00
    4.836334e-01    2.668330e+00    2.277887e+02    1.798614e+10    9.748340e-10    1.474737e-11    8.000590e-10    1.096218e-10   -3.150000e+00    7.878392e-01    1.695462e+00
    4.874278e-01    2.716002e+00    2.266855e+02    1.804621e+10    9.744690e-10    1.398929e-11    8.001475e-10    1.095219e-10   -3.140000e+00    7.878392e-01    1.689206e+00
    4.912500e-01    2.764628e+00    2.255790e+02    1.810546e+10    9.741180e-10    1.325754e-11    8.002245e-10    1.094245e-10   -3.130000e+00    7.878392e-01    1.682948e+00
    4.950994e-01    2.814205e+00    2.244692e+02    1.816385e+10    9.737810e-10    1.255138e-11    8.002915e-10    1.093293e-10   -3.120000e+00    7.878392e-01    1.676688e+00
    4.989755e-01    2.864731e+00    2.233563e+02    1.822136e+10    9.734570e-10    1.187005e-11    8.003480e-10    1.092366e-10   -3.110000e+00    7.878392e-01    1.670426e+00
    5.028782e-01    2.916201e+00    2.222402e+02    1.827794e+10    9.731465e-10    1.121282e-11    8.003945e-10    1.091460e-10   -3.100000e+00    7.878392e-01    1.664163e+00
    5.068068e-01    2.968608e+00    2.211211e+02    1.833359e+10    9.728485e-10    1.057897e-11    8.004320e-10    1.090575e-10   -3.090000e+00    7.878392e-01    1.657898e+00
    5.107612e-01    3.021947e+00    2.199989e+02    1.838828e+10    9.725625e-10    9.967745e-12    8.004600e-10    1.089712e-10   -3.080000e+00    7.878392e-01    1.651630e+00
    5.147408e-01    3.076207e+00    2.188738e+02    1.844196e+10    9.722890e-10    9.378450e-12    8.004795e-10    1.088870e-10   -3.070000e+00    7.878392e-01    1.645361e+00
    5.187454e-01    3.131377e+00    2.177456e+02    1.849463e+10    9.720265e-10    8.810380e-12    8.004900e-10    1.088049e-10   -3.060000e+00    7.878392e-01    1.639090e+00
    5.227749e-01    3.187449e+00    2.166147e+02    1.854628e+10    9.717755e-10    8.262835e-12    8.004925e-10    1.087246e-10   -3.050000e+00    7.878392e-01    1.632816e+00
    5.268287e-01    3.244409e+00    2.154809e+02    1.859687e+10    9.715350e-10    7.735145e-12    8.004865e-10    1.086464e-10   -3.040000e+00    7.878392e-01    1.626541e+00
    5.309069e-01    3.302245e+00    2.143443e+02    1.864639e+10    9.713050e-10    7.226640e-12    8.004730e-10    1.085699e-10   -3.030000e+00    7.878392e-01    1.620263e+00
    5.350092e-01    3.360943e+00    2.132050e+02    1.869482e+10    9.710850e-10    6.736670e-12    8.004525e-10    1.084954e-10   -3.020000e+00    7.878392e-01    1.613983e+00
    5.391357e-01    3.420491e+00    2.120630e+02    1.874216e+10    9.708750e-10    6.264600e-12    8.004240e-10    1.084225e-10   -3.010000e+00    7.878392e-01    1.607701e+00
    5.432861e-01    3.480873e+00    2.109184e+02    1.878838e+10    9.706745e-10    5.809805e-12    8.003890e-10    1.083515e-10   -3.000000e+00    7.878392e-01    1.601417e+00
    5.474605e-01    3.542076e+00    2.097712e+02    1.883350e+10    9.704825e-10    5.371685e-12    8.003470e-10    1.082820e-10   -2.990000e+00    7.878392e-01    1.595131e+00
    5.516590e-01    3.604086e+00    2.086216e+02    1.887749e+10    9.702995e-10    4.949643e-12    8.002990e-10    1.082143e-10   -2.980000e+00    7.878392e-01    1.588842e+00
    5.558816e-01    3.666889e+00    2.074694e+02    1.892034e+10    9.701250e-10    4.543112e-12    8.002440e-10    1.081481e-10   -2.970000e+00    7.878392e-01    1.582552e+00
    5.601284e-01    3.730470e+00    2.063150e+02    1.896206e+10    9.699585e-10    4.151530e-12    8.001835e-10    1.080833e-10   -2.960000e+00    7.878392e-01    1.576258e+00
    5.644001e-01    3.794819e+00    2.051582e+02    1.900264e+10    9.698000e-10    3.774357e-12    8.001170e-10    1.080202e-10   -2.950000e+00    7.878392e-01    1.569963e+00
    5.686961e-01    3.859920e+00    2.039992e+02    1.904209e+10    9.696485e-10    3.411068e-12    8.000445e-10    1.079585e-10   -2.940000e+00    7.878392e-01    1.563665e+00
    5.730178e-01    3.925766e+00    2.028380e+02    1.908041e+10    9.695045e-10    3.061151e-12    7.999670e-10    1.078982e-10   -2.930000e+00    7.878392e-01    1.557365e+00
    5.773647e-01    3.992342e+00    2.016746e+02    1.911759e+10    9.693675e-10    2.724115e-12    7.998840e-10    1.078391e-10   -2.920000e+00    7.878392e-01    1.551062e+00
    5.817374e-01    4.059638e+00    2.005092e+02    1.915365e+10    9.692370e-10    2.399481e-12    7.997960e-10    1.077815e-10   -2.910000e+00    7.878392e-01    1.544757e+00
    5.861369e-01    4.127648e+00    1.993418e+02    1.918859e+10    9.691130e-10    2.086787e-12    7.997030e-10    1.077251e-10   -2.900000e+00    7.878392e-01    1.538449e+00
    5.905628e-01    4.196360e+00    1.981724e+02    1.922240e+10    9.689955e-10    1.785586e-12    7.996055e-10    1.076700e-10   -2.890000e+00    7.878392e-01    1.532139e+00
    5.950167e-01    4.265771e+00    1.970011e+02    1.925513e+10    9.688835e-10    1.495446e-12    7.995030e-10    1.076160e-10   -2.880000e+00    7.878392e-01    1.525826e+00
    5.994985e-01    4.335871e+00    1.958280e+02    1.928676e+10    9.687770e-10    1.215950e-12    7.993965e-10    1.075632e-10   -2.870000e+00    7.878392e-01    1.519510e+00
    6.040090e-01    4.406656e+00    1.946532e+02    1.931729e+10    9.686765e-10    9.466960e-13    7.992855e-10    1.075116e-10   -2.860000e+00    7.878392e-01    1.513192e+00
    6.085488e-01    4.478121e+00    1.934766e+02    1.934676e+10    9.685805e-10    6.872950e-13    7.991705e-10    1.074610e-10   -2.850000e+00    7.878392e-01    1.506871e+00
    6.131185e-01    4.550263e+00    1.922984e+02    1.937515e+10    9.684900e-10    4.373729e-13    7.990510e-10    1.074114e-10   -2.840000e+00    7.878392e-01    1.500548e+00
    6.177193e-01    4.623082e+00    1.911186e+02    1.940250e+10    9.684040e-10    1.965686e-13    7.989280e-10    1.073629e-10   -2.830000e+00    7.878392e-01    1.494222e+00
    6.223516e-01    4.696572e+00    1.899373e+02    1.942879e+10    9.683230e-10    3.546588e-14    7.988010e-10    1.073153e-10   -2.820000e+00    7.878392e-01    1.487893e+00
    6.270162e-01    4.770736e+00    1.887545e+02    1.945407e+10    9.682460e-10    2.590653e-13    7.986705e-10    1.072687e-10   -2.810000e+00    7.878392e-01    1.481561e+00
    6.317142e-01    4.845572e+00    1.875702e+02    1.947832e+10    9.681735e-10    4.745523e-13    7.985365e-10    1.072230e-10   -2.800000e+00    7.878392e-01    1.475226e+00
    6.364459e-01    4.921082e+00    1.863847e+02    1.950157e+10    9.681045e-10    6.822375e-13    7.983990e-10    1.071781e-10   -2.790000e+00    7.878392e-01    1.468888e+00
    6.412127e-01    4.997269e+00    1.851978e+02    1.952382e+10    9.680395e-10    8.824190e-13    7.982580e-10    1.071342e-10   -2.780000e+00    7.878392e-01    1.462548e+00
    6.460153e-01    5.074135e+00    1.840097e+02    1.954510e+10    9.679785e-10    1.075385e-12    7.981135e-10    1.070910e-10   -2.770000e+00    7.878392e-01    1.456204e+00
    6.508544e-01    5.151681e+00    1.828203e+02    1.956540e+10    9.679205e-10    1.261412e-12    7.979665e-10    1.070487e-10   -2.760000e+00    7.878392e-01    1.449858e+00
    6.557311e-01    5.229912e+00    1.816299e+02    1.958474e+10    9.678665e-10    1.440765e-12    7.978160e-10    1.070071e-10   -2.750000e+00    7.878392e-01    1.443508e+00
    6.606461e-01    5.308833e+00    1.804384e+02    1.960314e+10    9.678150e-10    1.613701e-12    7.976625e-10    1.069662e-10   -2.740000e+00    7.878392e-01    1.437155e+00
    6.656010e-01    5.388451e+00    1.792458e+02    1.962059e+10    9.677670e-10    1.780463e-12    7.975060e-10    1.069261e-10   -2.730000e+00    7.878392e-01    1.430799e+00
    6.705959e-01    5.468767e+00    1.780523e+02    1.963713e+10    9.677215e-10    1.941290e-12    7.973470e-10    1.068866e-10   -2.720000e+00    7.878392e-01    1.424440e+00
    6.756323e-01    5.549788e+00    1.768578e+02    1.965275e+10    9.676790e-10    2.096407e-12    7.971850e-10    1.068478e-10   -2.710000e+00    7.878392e-01    1.418078e+00
    6.807109e-01    5.631525e+00    1.756625e+02    1.966747e+10    9.676390e-10    2.246032e-12    7.970205e-10    1.068096e-10   -2.700000e+00    7.878392e-01    1.411713e+00
    6.858335e-01    5.713981e+00    1.744663e+02    1.968130e+10    9.676015e-10    2.390375e-12    7.968530e-10    1.067721e-10   -2.690000e+00    7.878392e-01    1.405344e+00
    6.909999e-01    5.797163e+00    1.732694e+02    1.969423e+10    9.675665e-10    2.529637e-12    7.966830e-10    1.067351e-10   -2.680000e+00    7.878392e-01    1.398972e+00
    6.962121e-01    5.881082e+00    1.720717e+02    1.970630e+10    9.675335e-10    2.664011e-12    7.965105e-10    1.066987e-10   -2.670000e+00    7.878392e-01    1.392597e+00
    7.014708e-01    5.965743e+00    1.708734e+02    1.971750e+10    9.675030e-10    2.793682e-12    7.963355e-10    1.066629e-10   -2.660000e+00    7.878392e-01    1.386218e+00
    7.067770e-01    6.051153e+00    1.696745e+02    1.972785e+10    9.674740e-10    2.918828e-12    7.961580e-10    1.066276e-10   -2.650000e+00    7.878392e-01    1.379835e+00
    7.121318e-01    6.137326e+00    1.684750e+02    1.973734e+10    9.674475e-10    3.039620e-12    7.959780e-10    1.065928e-10   -2.640000e+00    7.878392e-01    1.373449e+00
    7.175369e-01    6.224268e+00    1.672750e+02    1.974601e+10    9.674220e-10    3.156223e-12    7.957960e-10    1.065585e-10   -2.630000e+00    7.878392e-01    1.367060e+00
    7.229926e-01    6.311987e+00    1.660744e+02    1.975382e+10    9.673990e-10    3.268795e-12    7.956115e-10    1.065246e-10   -2.620000e+00    7.878392e-01    1.360667e+00
    7.285004e-01    6.400495e+00    1.648736e+02    1.976083e+10    9.673770e-10    3.377485e-12    7.954250e-10    1.064912e-10   -2.610000e+00    7.878392e-01    1.354270e+00
    7.340613e-01    6.489801e+00    1.636723e+02    1.976701e+10    9.673565e-10    3.482441e-12    7.952360e-10    1.064582e-10   -2.600000e+00    7.878392e-01    1.347870e+00
    7.396767e-01    6.579912e+00    1.624707e+02    1.977237e+10    9.673380e-10    3.583800e-12    7.950445e-10    1.064257e-10   -2.590000e+00    7.878392e-01    1.341466e+00
    7.453475e-01    6.670844e+00    1.612688e+02    1.977693e+10    9.673205e-10    3.681698e-12    7.948515e-10    1.063935e-10   -2.580000e+00    7.878392e-01    1.335058e+00
    7.510756e-01    6.762605e+00    1.600667e+02    1.978070e+10    9.673040e-10    3.776263e-12    7.946560e-10    1.063617e-10   -2.570000e+00    7.878392e-01    1.328647e+00
    7.568614e-01    6.855207e+00    1.588644e+02    1.978367e+10    9.672885e-10    3.867617e-12    7.944580e-10    1.063304e-10   -2.560000e+00    7.878392e-01    1.322231e+00
    7.627068e-01    6.948658e+00    1.576619e+02    1.978585e+10    9.672745e-10    3.955880e-12    7.942585e-10    1.062993e-10   -2.550000e+00    7.878392e-01    1.315812e+00
    7.686127e-01    7.042971e+00    1.564594e+02    1.978725e+10    9.672615e-10    4.041166e-12    7.940565e-10    1.062686e-10   -2.540000e+00    7.878392e-01    1.309388e+00
    7.745802e-01    7.138157e+00    1.552568e+02    1.978786e+10    9.672490e-10    4.123584e-12    7.938525e-10    1.062382e-10   -2.530000e+00    7.878392e-01    1.302961e+00
    7.806113e-01    7.234230e+00    1.540542e+02    1.978770e+10    9.672375e-10    4.203238e-12    7.936470e-10    1.062081e-10   -2.520000e+00    7.878392e-01    1.296529e+00
    7.867067e-01    7.331197e+00    1.528517e+02    1.978677e+10    9.672270e-10    4.280228e-12    7.934390e-10    1.061783e-10   -2.510000e+00    7.878392e-01    1.290094e+00
    7.928681e-01    7.429074e+00    1.516492e+02    1.978506e+10    9.672170e-10    4.354654e-12    7.932290e-10    1.061488e-10   -2.500000e+00    7.878392e-01    1.283654e+00
    7.990966e-01    7.527871e+00    1.504469e+02    1.978259e+10    9.672075e-10    4.426606e-12    7.930170e-10    1.061196e-10   -2.490000e+00    7.878392e-01    1.277210e+00
    8.053946e-01    7.627608e+00    1.492448e+02    1.977936e+10    9.671990e-10    4.496174e-12    7.928030e-10    1.060905e-10   -2.480000e+00    7.878392e-01    1.270762e+00
    8.117621e-01    7.728285e+00    1.480430e+02    1.977537e+10    9.671905e-10    4.563445e-12    7.925875e-10    1.060618e-10   -2.470000e+00    7.878392e-01    1.264309e+00
    8.182017e-01    7.829924e+00    1.468413e+02    1.977062e+10    9.671825e-10    4.628499e-12    7.923695e-10    1.060333e-10   -2.460000e+00    7.878392e-01    1.257852e+00
    8.247141e-01    7.932536e+00    1.456401e+02    1.976511e+10    9.671750e-10    4.691416e-12    7.921500e-10    1.060050e-10   -2.450000e+00    7.878392e-01    1.251391e+00
    8.313019e-01    8.036134e+00    1.444391e+02    1.975885e+10    9.671680e-10    4.752273e-12    7.919280e-10    1.059769e-10   -2.440000e+00    7.878392e-01    1.244925e+00
    8.379655e-01    8.140730e+00    1.432386e+02    1.975184e+10    9.671610e-10    4.811142e-12    7.917045e-10    1.059490e-10   -2.430000e+00    7.878392e-01    1.238455e+00
    8.447073e-01    8.246344e+00    1.420386e+02    1.974407e+10    9.671545e-10    4.868092e-12    7.914790e-10    1.059213e-10   -2.420000e+00    7.878392e-01    1.231980e+00
