# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: -40C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.141429e-01    4.676226e+00    2.664887e+01    2.615731e+08    9.958070e-09    1.504649e-10    9.845705e-09    1.723730e-09   -3.300000e+00    8.403830e-01    1.840840e+00
    6.196231e-01    4.841455e+00    2.648521e+01    2.623400e+08    9.956040e-09    1.454770e-10    9.842660e-09    1.723286e-09   -3.290000e+00    8.403830e-01    1.832473e+00
    6.251628e-01    5.016388e+00    2.632065e+01    2.630920e+08    9.954105e-09    1.406629e-10    9.839520e-09    1.722840e-09   -3.280000e+00    8.403830e-01    1.824116e+00
    6.307442e-01    5.201742e+00    2.615589e+01    2.638283e+08    9.952255e-09    1.360168e-10    9.836290e-09    1.722395e-09   -3.270000e+00    8.403830e-01    1.815768e+00
    6.363707e-01    5.398286e+00    2.599070e+01    2.645476e+08    9.950490e-09    1.315333e-10    9.832975e-09    1.721948e-09   -3.260000e+00    8.403830e-01    1.807430e+00
    6.420400e-01    5.606850e+00    2.582510e+01    2.652488e+08    9.948800e-09    1.272067e-10    9.829570e-09    1.721501e-09   -3.250000e+00    8.403830e-01    1.799102e+00
    6.477502e-01    5.828326e+00    2.565909e+01    2.659306e+08    9.947195e-09    1.230319e-10    9.826085e-09    1.721053e-09   -3.240000e+00    8.403830e-01    1.790783e+00
    6.534982e-01    6.063660e+00    2.549269e+01    2.665915e+08    9.945665e-09    1.190035e-10    9.822520e-09    1.720606e-09   -3.230000e+00    8.403830e-01    1.782474e+00
    6.592813e-01    6.313871e+00    2.532591e+01    2.672303e+08    9.944205e-09    1.151166e-10    9.818880e-09    1.720159e-09   -3.220000e+00    8.403830e-01    1.774175e+00
    6.650967e-01    6.580044e+00    2.515876e+01    2.678457e+08    9.942815e-09    1.113663e-10    9.815165e-09    1.719712e-09   -3.210000e+00    8.403830e-01    1.765885e+00
    6.709406e-01    6.863322e+00    2.499125e+01    2.684358e+08    9.941495e-09    1.077478e-10    9.811380e-09    1.719265e-09   -3.200000e+00    8.403830e-01    1.757605e+00
    6.768101e-01    7.164927e+00    2.482341e+01    2.689995e+08    9.940240e-09    1.042563e-10    9.807525e-09    1.718820e-09   -3.190000e+00    8.403830e-01    1.749334e+00
    6.827011e-01    7.486140e+00    2.465524e+01    2.695350e+08    9.939050e-09    1.008876e-10    9.803605e-09    1.718374e-09   -3.180000e+00    8.403830e-01    1.741073e+00
    6.886098e-01    7.828302e+00    2.448677e+01    2.700408e+08    9.937920e-09    9.763720e-11    9.799620e-09    1.717931e-09   -3.170000e+00    8.403830e-01    1.732821e+00
    6.945322e-01    8.192819e+00    2.431801e+01    2.705154e+08    9.936845e-09    9.450085e-11    9.795575e-09    1.717488e-09   -3.160000e+00    8.403830e-01    1.724578e+00
    7.004644e-01    8.581154e+00    2.414899e+01    2.709575e+08    9.935825e-09    9.147455e-11    9.791465e-09    1.717047e-09   -3.150000e+00    8.403830e-01    1.716345e+00
    7.064024e-01    8.994806e+00    2.397971e+01    2.713652e+08    9.934865e-09    8.855425e-11    9.787300e-09    1.716607e-09   -3.140000e+00    8.403830e-01    1.708122e+00
    7.123416e-01    9.435322e+00    2.381021e+01    2.717375e+08    9.933950e-09    8.573615e-11    9.783080e-09    1.716169e-09   -3.130000e+00    8.403830e-01    1.699907e+00
    7.182787e-01    9.904276e+00    2.364050e+01    2.720729e+08    9.933090e-09    8.301660e-11    9.778805e-09    1.715732e-09   -3.120000e+00    8.403830e-01    1.691702e+00
    7.242094e-01    1.040325e+01    2.347060e+01    2.723703e+08    9.932275e-09    8.039200e-11    9.774475e-09    1.715296e-09   -3.110000e+00    8.403830e-01    1.683507e+00
    7.301300e-01    1.093383e+01    2.330055e+01    2.726285e+08    9.931510e-09    7.785890e-11    9.770100e-09    1.714863e-09   -3.100000e+00    8.403830e-01    1.675320e+00
    7.360372e-01    1.149758e+01    2.313036e+01    2.728467e+08    9.930785e-09    7.541390e-11    9.765670e-09    1.714432e-09   -3.090000e+00    8.403830e-01    1.667143e+00
    7.419275e-01    1.209604e+01    2.296006e+01    2.730240e+08    9.930105e-09    7.305385e-11    9.761195e-09    1.714002e-09   -3.080000e+00    8.403830e-01    1.658976e+00
    7.477985e-01    1.273069e+01    2.278968e+01    2.731601e+08    9.929460e-09    7.077560e-11    9.756675e-09    1.713573e-09   -3.070000e+00    8.403830e-01    1.650817e+00
    7.536472e-01    1.340293e+01    2.261923e+01    2.732541e+08    9.928860e-09    6.857615e-11    9.752105e-09    1.713148e-09   -3.060000e+00    8.403830e-01    1.642668e+00
    7.594725e-01    1.411407e+01    2.244875e+01    2.733063e+08    9.928295e-09    6.645265e-11    9.747500e-09    1.712723e-09   -3.050000e+00    8.403830e-01    1.634528e+00
    7.652718e-01    1.486532e+01    2.227826e+01    2.733163e+08    9.927765e-09    6.440230e-11    9.742845e-09    1.712301e-09   -3.040000e+00    8.403830e-01    1.626397e+00
    7.710448e-01    1.565773e+01    2.210778e+01    2.732845e+08    9.927270e-09    6.242240e-11    9.738155e-09    1.711881e-09   -3.030000e+00    8.403830e-01    1.618275e+00
    7.767904e-01    1.649223e+01    2.193734e+01    2.732110e+08    9.926810e-09    6.051035e-11    9.733425e-09    1.711462e-09   -3.020000e+00    8.403830e-01    1.610163e+00
    7.825085e-01    1.736958e+01    2.176697e+01    2.730967e+08    9.926375e-09    5.866365e-11    9.728655e-09    1.711046e-09   -3.010000e+00    8.403830e-01    1.602059e+00
    7.881997e-01    1.829035e+01    2.159669e+01    2.729420e+08    9.925975e-09    5.687995e-11    9.723845e-09    1.710632e-09   -3.000000e+00    8.403830e-01    1.593965e+00
    7.938644e-01    1.925492e+01    2.142653e+01    2.727478e+08    9.925605e-09    5.515685e-11    9.719000e-09    1.710220e-09   -2.990000e+00    8.403830e-01    1.585880e+00
    7.995042e-01    2.026351e+01    2.125651e+01    2.725153e+08    9.925260e-09    5.349220e-11    9.714120e-09    1.709809e-09   -2.980000e+00    8.403830e-01    1.577803e+00
    8.051202e-01    2.131614e+01    2.108664e+01    2.722453e+08    9.924940e-09    5.188380e-11    9.709210e-09    1.709402e-09   -2.970000e+00    8.403830e-01    1.569736e+00
    8.107144e-01    2.241261e+01    2.091697e+01    2.719391e+08    9.924645e-09    5.032965e-11    9.704260e-09    1.708995e-09   -2.960000e+00    8.403830e-01    1.561678e+00
    8.162889e-01    2.355256e+01    2.074750e+01    2.715980e+08    9.924375e-09    4.882769e-11    9.699285e-09    1.708591e-09   -2.950000e+00    8.403830e-01    1.553629e+00
    8.218462e-01    2.473543e+01    2.057825e+01    2.712233e+08    9.924125e-09    4.737605e-11    9.694270e-09    1.708189e-09   -2.940000e+00    8.403830e-01    1.545588e+00
