# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: 25 C
# W = 2.0 um
# L = 2 um (2000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    7.765560e-01    1.937677e+00    3.908789e-05   -6.698379e-05    1.144134e-05    1.333005e-14   -1.309541e-14   -2.574520e-16   -2.289957e-15
   -3.290000e+00    7.765560e-01    1.929146e+00    3.918729e-05   -6.659291e-05    1.116934e-05    1.332632e-14   -1.309243e-14   -2.489166e-16   -2.289361e-15
   -3.280000e+00    7.765560e-01    1.920625e+00    3.928603e-05   -6.620005e-05    1.089773e-05    1.332274e-14   -1.308930e-14   -2.406692e-16   -2.288761e-15
   -3.270000e+00    7.765560e-01    1.912112e+00    3.938402e-05   -6.580670e-05    1.062657e-05    1.331929e-14   -1.308601e-14   -2.327014e-16   -2.288156e-15
   -3.260000e+00    7.765560e-01    1.903610e+00    3.948121e-05   -6.541237e-05    1.035597e-05    1.331599e-14   -1.308258e-14   -2.250047e-16   -2.287548e-15
   -3.250000e+00    7.765560e-01    1.895116e+00    3.957749e-05   -6.501708e-05    1.008604e-05    1.331282e-14   -1.307900e-14   -2.175709e-16   -2.286938e-15
   -3.240000e+00    7.765560e-01    1.886632e+00    3.967278e-05   -6.462083e-05    9.816868e-06    1.330978e-14   -1.307528e-14   -2.103919e-16   -2.286324e-15
   -3.230000e+00    7.765560e-01    1.878158e+00    3.976699e-05   -6.422363e-05    9.548592e-06    1.330686e-14   -1.307142e-14   -2.034595e-16   -2.285709e-15
   -3.220000e+00    7.765560e-01    1.869692e+00    3.986000e-05   -6.382549e-05    9.281336e-06    1.330407e-14   -1.306744e-14   -1.967660e-16   -2.285091e-15
   -3.210000e+00    7.765560e-01    1.861237e+00    3.995171e-05   -6.342643e-05    9.015239e-06    1.330140e-14   -1.306333e-14   -1.903038e-16   -2.284472e-15
   -3.200000e+00    7.765560e-01    1.852790e+00    4.004198e-05   -6.302646e-05    8.750451e-06    1.329883e-14   -1.305909e-14   -1.840651e-16   -2.283852e-15
   -3.190000e+00    7.765560e-01    1.844353e+00    4.013069e-05   -6.262560e-05    8.487133e-06    1.329638e-14   -1.305474e-14   -1.780428e-16   -2.283232e-15
   -3.180000e+00    7.765560e-01    1.835925e+00    4.021770e-05   -6.222385e-05    8.225456e-06    1.329404e-14   -1.305027e-14   -1.722297e-16   -2.282611e-15
   -3.170000e+00    7.765560e-01    1.827506e+00    4.030286e-05   -6.182125e-05    7.965605e-06    1.329179e-14   -1.304569e-14   -1.666186e-16   -2.281990e-15
   -3.160000e+00    7.765560e-01    1.819096e+00    4.038600e-05   -6.141780e-05    7.707775e-06    1.328965e-14   -1.304101e-14   -1.612028e-16   -2.281369e-15
   -3.150000e+00    7.765560e-01    1.810696e+00    4.046696e-05   -6.101353e-05    7.452173e-06    1.328760e-14   -1.303622e-14   -1.559756e-16   -2.280749e-15
   -3.140000e+00    7.765560e-01    1.802305e+00    4.054555e-05   -6.060847e-05    7.199018e-06    1.328565e-14   -1.303133e-14   -1.509306e-16   -2.280129e-15
   -3.130000e+00    7.765560e-01    1.793923e+00    4.062159e-05   -6.020263e-05    6.948541e-06    1.328378e-14   -1.302635e-14   -1.460614e-16   -2.279510e-15
   -3.120000e+00    7.765560e-01    1.785550e+00    4.069487e-05   -5.979605e-05    6.700983e-06    1.328200e-14   -1.302127e-14   -1.413620e-16   -2.278892e-15
   -3.110000e+00    7.765560e-01    1.777186e+00    4.076519e-05   -5.938874e-05    6.456596e-06    1.328030e-14   -1.301610e-14   -1.368264e-16   -2.278276e-15
   -3.100000e+00    7.765560e-01    1.768832e+00    4.083233e-05   -5.898075e-05    6.215640e-06    1.327869e-14   -1.301085e-14   -1.324488e-16   -2.277661e-15
   -3.090000e+00    7.765560e-01    1.760486e+00    4.089607e-05   -5.857211e-05    5.978383e-06    1.327714e-14   -1.300551e-14   -1.282237e-16   -2.277047e-15
   -3.080000e+00    7.765560e-01    1.752150e+00    4.095618e-05   -5.816285e-05    5.745099e-06    1.327567e-14   -1.300009e-14   -1.241457e-16   -2.276436e-15
   -3.070000e+00    7.765560e-01    1.743822e+00    4.101244e-05   -5.775300e-05    5.516064e-06    1.327428e-14   -1.299459e-14   -1.202094e-16   -2.275826e-15
   -3.060000e+00    7.765560e-01    1.735504e+00    4.106460e-05   -5.734261e-05    5.291556e-06    1.327295e-14   -1.298901e-14   -1.164100e-16   -2.275218e-15
   -3.050000e+00    7.765560e-01    1.727195e+00    4.111244e-05   -5.693172e-05    5.071852e-06    1.327168e-14   -1.298336e-14   -1.127423e-16   -2.274613e-15
   -3.040000e+00    7.765560e-01    1.718894e+00    4.115573e-05   -5.652038e-05    4.857222e-06    1.327048e-14   -1.297764e-14   -1.092017e-16   -2.274010e-15
   -3.030000e+00    7.765560e-01    1.710603e+00    4.119425e-05   -5.610862e-05    4.647929e-06    1.326934e-14   -1.297185e-14   -1.057837e-16   -2.273409e-15
   -3.020000e+00    7.765560e-01    1.702320e+00    4.122778e-05   -5.569651e-05    4.444223e-06    1.326826e-14   -1.296599e-14   -1.024838e-16   -2.272810e-15
   -3.010000e+00    7.765560e-01    1.694047e+00    4.125613e-05   -5.528408e-05    4.246338e-06    1.326723e-14   -1.296006e-14   -9.929760e-17   -2.272214e-15
   -3.000000e+00    7.765560e-01    1.685782e+00    4.127911e-05   -5.487140e-05    4.054489e-06    1.326625e-14   -1.295408e-14   -9.622113e-17   -2.271620e-15
   -2.990000e+00    7.765560e-01    1.677526e+00    4.129655e-05   -5.445852e-05    3.868868e-06    1.326533e-14   -1.294803e-14   -9.325035e-17   -2.271029e-15
   -2.980000e+00    7.765560e-01    1.669279e+00    4.130832e-05   -5.404549e-05    3.689639e-06    1.326445e-14   -1.294192e-14   -9.038141e-17   -2.270441e-15
   -2.970000e+00    7.765560e-01    1.661041e+00    4.131428e-05   -5.363237e-05    3.516939e-06    1.326362e-14   -1.293576e-14   -8.761060e-17   -2.269855e-15
   -2.960000e+00    7.765560e-01    1.652812e+00    4.131435e-05   -5.321923e-05    3.350872e-06    1.326284e-14   -1.292953e-14   -8.493436e-17   -2.269272e-15
   -2.950000e+00    7.765560e-01    1.644591e+00    4.130845e-05   -5.280611e-05    3.191508e-06    1.326210e-14   -1.292326e-14   -8.234923e-17   -2.268691e-15
   -2.940000e+00    7.765560e-01    1.636379e+00    4.129655e-05   -5.239308e-05    3.038883e-06    1.326140e-14   -1.291693e-14   -7.985189e-17   -2.268113e-15
