# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: 85 C
# W = 2.0 um
# L = 0.5 um (500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    7.169942e-01    2.064698e+00    1.084410e-04   -2.294073e-04    5.440529e-05    3.418121e-15   -3.112206e-15   -1.508045e-16   -5.410642e-16
   -3.290000e+00    7.169942e-01    2.057006e+00    1.087287e-04   -2.283229e-04    5.367692e-05    3.415591e-15   -3.112926e-15   -1.458188e-16   -5.406523e-16
   -3.280000e+00    7.169942e-01    2.049314e+00    1.090168e-04   -2.272327e-04    5.294745e-05    3.413128e-15   -3.113579e-15   -1.409666e-16   -5.402450e-16
   -3.270000e+00    7.169942e-01    2.041623e+00    1.093054e-04   -2.261411e-04    5.221690e-05    3.410733e-15   -3.114165e-15   -1.362469e-16   -5.398424e-16
   -3.260000e+00    7.169942e-01    2.033933e+00    1.095944e-04   -2.250466e-04    5.148532e-05    3.408404e-15   -3.114686e-15   -1.316585e-16   -5.394444e-16
   -3.250000e+00    7.169942e-01    2.026244e+00    1.098838e-04   -2.239492e-04    5.075277e-05    3.406142e-15   -3.115142e-15   -1.272001e-16   -5.390512e-16
   -3.240000e+00    7.169942e-01    2.018556e+00    1.101735e-04   -2.228489e-04    5.001928e-05    3.403947e-15   -3.115534e-15   -1.228703e-16   -5.386627e-16
   -3.230000e+00    7.169942e-01    2.010869e+00    1.104635e-04   -2.217457e-04    4.928493e-05    3.401816e-15   -3.115863e-15   -1.186673e-16   -5.382790e-16
   -3.220000e+00    7.169942e-01    2.003182e+00    1.107537e-04   -2.206396e-04    4.854977e-05    3.399751e-15   -3.116132e-15   -1.145895e-16   -5.379001e-16
   -3.210000e+00    7.169942e-01    1.995497e+00    1.110441e-04   -2.195307e-04    4.781387e-05    3.397749e-15   -3.116340e-15   -1.106350e-16   -5.375260e-16
   -3.200000e+00    7.169942e-01    1.987812e+00    1.113347e-04   -2.184188e-04    4.707731e-05    3.395810e-15   -3.116489e-15   -1.068016e-16   -5.371568e-16
   -3.190000e+00    7.169942e-01    1.980128e+00    1.116253e-04   -2.173040e-04    4.634015e-05    3.393933e-15   -3.116580e-15   -1.030874e-16   -5.367925e-16
   -3.180000e+00    7.169942e-01    1.972445e+00    1.119159e-04   -2.161863e-04    4.560250e-05    3.392117e-15   -3.116615e-15   -9.948996e-17   -5.364330e-16
   -3.170000e+00    7.169942e-01    1.964763e+00    1.122065e-04   -2.150656e-04    4.486443e-05    3.390362e-15   -3.116595e-15   -9.600713e-17   -5.360784e-16
   -3.160000e+00    7.169942e-01    1.957081e+00    1.124969e-04   -2.139421e-04    4.412606e-05    3.388665e-15   -3.116521e-15   -9.263647e-17   -5.357287e-16
