# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: 85C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.850290e-01    3.204822e+00    1.946694e+01    1.822938e+08    9.943135e-09    2.152914e-10    9.831880e-09    1.737908e-09   -3.300000e+00    7.122387e-01    1.986771e+00
    5.896503e-01    3.284016e+00    1.935306e+01    1.827194e+08    9.939845e-09    2.081220e-10    9.829815e-09    1.737456e-09   -3.290000e+00    7.122387e-01    1.978140e+00
    5.943340e-01    3.366800e+00    1.923871e+01    1.831409e+08    9.936680e-09    2.011914e-10    9.827610e-09    1.736998e-09   -3.280000e+00    7.122387e-01    1.969519e+00
    5.990704e-01    3.453408e+00    1.912426e+01    1.835585e+08    9.933630e-09    1.944930e-10    9.825280e-09    1.736535e-09   -3.270000e+00    7.122387e-01    1.960908e+00
    6.038628e-01    3.544086e+00    1.900958e+01    1.839718e+08    9.930695e-09    1.880201e-10    9.822825e-09    1.736068e-09   -3.260000e+00    7.122387e-01    1.952307e+00
    6.087119e-01    3.639105e+00    1.889467e+01    1.843805e+08    9.927875e-09    1.817663e-10    9.820250e-09    1.735599e-09   -3.250000e+00    7.122387e-01    1.943716e+00
    6.136175e-01    3.738755e+00    1.877955e+01    1.847845e+08    9.925160e-09    1.757249e-10    9.817555e-09    1.735126e-09   -3.240000e+00    7.122387e-01    1.935136e+00
    6.185803e-01    3.843354e+00    1.866421e+01    1.851836e+08    9.922550e-09    1.698898e-10    9.814750e-09    1.734650e-09   -3.230000e+00    7.122387e-01    1.926565e+00
    6.236004e-01    3.953241e+00    1.854864e+01    1.855774e+08    9.920045e-09    1.642545e-10    9.811830e-09    1.734171e-09   -3.220000e+00    7.122387e-01    1.918005e+00
    6.286774e-01    4.068786e+00    1.843286e+01    1.859656e+08    9.917635e-09    1.588129e-10    9.808805e-09    1.733691e-09   -3.210000e+00    7.122387e-01    1.909455e+00
    6.338114e-01    4.190390e+00    1.831687e+01    1.863481e+08    9.915320e-09    1.535589e-10    9.805675e-09    1.733208e-09   -3.200000e+00    7.122387e-01    1.900914e+00
    6.390022e-01    4.318487e+00    1.820068e+01    1.867242e+08    9.913100e-09    1.484865e-10    9.802450e-09    1.732725e-09   -3.190000e+00    7.122387e-01    1.892384e+00
    6.442494e-01    4.453545e+00    1.808427e+01    1.870936e+08    9.910970e-09    1.435900e-10    9.799125e-09    1.732239e-09   -3.180000e+00    7.122387e-01    1.883863e+00
    6.495524e-01    4.596077e+00    1.796767e+01    1.874560e+08    9.908925e-09    1.388634e-10    9.795710e-09    1.731753e-09   -3.170000e+00    7.122387e-01    1.875353e+00
    6.549109e-01    4.746636e+00    1.785085e+01    1.878109e+08    9.906965e-09    1.343013e-10    9.792200e-09    1.731267e-09   -3.160000e+00    7.122387e-01    1.866852e+00
    6.603239e-01    4.905821e+00    1.773385e+01    1.881577e+08    9.905085e-09    1.298981e-10    9.788605e-09    1.730780e-09   -3.150000e+00    7.122387e-01    1.858362e+00
    6.657901e-01    5.074283e+00    1.761666e+01    1.884959e+08    9.903280e-09    1.256487e-10    9.784925e-09    1.730292e-09   -3.140000e+00    7.122387e-01    1.849881e+00
    6.713091e-01    5.252732e+00    1.749927e+01    1.888249e+08    9.901555e-09    1.215476e-10    9.781160e-09    1.729805e-09   -3.130000e+00    7.122387e-01    1.841410e+00
    6.768785e-01    5.441926e+00    1.738171e+01    1.891440e+08    9.899900e-09    1.175899e-10    9.777320e-09    1.729318e-09   -3.120000e+00    7.122387e-01    1.832949e+00
    6.824971e-01    5.642695e+00    1.726397e+01    1.894525e+08    9.898315e-09    1.137706e-10    9.773405e-09    1.728831e-09   -3.110000e+00    7.122387e-01    1.824497e+00
    6.881633e-01    5.855938e+00    1.714606e+01    1.897498e+08    9.896800e-09    1.100849e-10    9.769415e-09    1.728345e-09   -3.100000e+00    7.122387e-01    1.816056e+00
    6.938751e-01    6.082625e+00    1.702799e+01    1.900351e+08    9.895345e-09    1.065283e-10    9.765350e-09    1.727859e-09   -3.090000e+00    7.122387e-01    1.807624e+00
    6.996296e-01    6.323798e+00    1.690976e+01    1.903074e+08    9.893955e-09    1.030960e-10    9.761220e-09    1.727375e-09   -3.080000e+00    7.122387e-01    1.799202e+00
    7.054247e-01    6.580591e+00    1.679138e+01    1.905660e+08    9.892625e-09    9.978380e-11    9.757020e-09    1.726891e-09   -3.070000e+00    7.122387e-01    1.790790e+00
    7.112570e-01    6.854212e+00    1.667286e+01    1.908099e+08    9.891355e-09    9.658745e-11    9.752760e-09    1.726408e-09   -3.060000e+00    7.122387e-01    1.782387e+00
    7.171235e-01    7.145967e+00    1.655420e+01    1.910381e+08    9.890140e-09    9.350280e-11    9.748435e-09    1.725927e-09   -3.050000e+00    7.122387e-01    1.773995e+00
    7.230215e-01    7.457258e+00    1.643543e+01    1.912499e+08    9.888975e-09    9.052580e-11    9.744045e-09    1.725447e-09   -3.040000e+00    7.122387e-01    1.765611e+00
    7.289466e-01    7.789572e+00    1.631654e+01    1.914439e+08    9.887865e-09    8.765265e-11    9.739600e-09    1.724969e-09   -3.030000e+00    7.122387e-01    1.757238e+00
    7.348955e-01    8.144504e+00    1.619756e+01    1.916193e+08    9.886805e-09    8.487960e-11    9.735100e-09    1.724492e-09   -3.020000e+00    7.122387e-01    1.748874e+00
    7.408636e-01    8.523736e+00    1.607848e+01    1.917750e+08    9.885790e-09    8.220305e-11    9.730545e-09    1.724017e-09   -3.010000e+00    7.122387e-01    1.740520e+00
    7.468476e-01    8.929054e+00    1.595932e+01    1.919101e+08    9.884820e-09    7.961945e-11    9.725935e-09    1.723543e-09   -3.000000e+00    7.122387e-01    1.732175e+00
    7.528422e-01    9.362330e+00    1.584010e+01    1.920233e+08    9.883895e-09    7.712550e-11    9.721275e-09    1.723071e-09   -2.990000e+00    7.122387e-01    1.723840e+00
    7.588434e-01    9.825528e+00    1.572082e+01    1.921137e+08    9.883010e-09    7.471790e-11    9.716565e-09    1.722600e-09   -2.980000e+00    7.122387e-01    1.715515e+00
    7.648474e-01    1.032069e+01    1.560151e+01    1.921805e+08    9.882170e-09    7.239355e-11    9.711805e-09    1.722133e-09   -2.970000e+00    7.122387e-01    1.707199e+00
    7.708491e-01    1.084993e+01    1.548218e+01    1.922227e+08    9.881360e-09    7.014930e-11    9.706995e-09    1.721666e-09   -2.960000e+00    7.122387e-01    1.698892e+00
    7.768442e-01    1.141541e+01    1.536283e+01    1.922393e+08    9.880595e-09    6.798235e-11    9.702145e-09    1.721201e-09   -2.950000e+00    7.122387e-01    1.690595e+00
    7.828293e-01    1.201934e+01    1.524349e+01    1.922298e+08    9.879860e-09    6.588985e-11    9.697245e-09    1.720738e-09   -2.940000e+00    7.122387e-01    1.682308e+00
    7.888000e-01    1.266394e+01    1.512417e+01    1.921934e+08    9.879160e-09    6.386900e-11    9.692305e-09    1.720278e-09   -2.930000e+00    7.122387e-01    1.674030e+00
    7.947523e-01    1.335144e+01    1.500490e+01    1.921296e+08    9.878490e-09    6.191725e-11    9.687325e-09    1.719819e-09   -2.920000e+00    7.122387e-01    1.665761e+00
    8.006835e-01    1.408405e+01    1.488568e+01    1.920379e+08    9.877855e-09    6.003210e-11    9.682300e-09    1.719362e-09   -2.910000e+00    7.122387e-01    1.657502e+00
    8.065909e-01    1.486389e+01    1.476653e+01    1.919181e+08    9.877245e-09    5.821100e-11    9.677240e-09    1.718907e-09   -2.900000e+00    7.122387e-01    1.649253e+00
    8.124714e-01    1.569305e+01    1.464747e+01    1.917699e+08    9.876665e-09    5.645170e-11    9.672140e-09    1.718453e-09   -2.890000e+00    7.122387e-01    1.641012e+00
