# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: 85C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.986925e-01    3.521380e+00    1.052851e+01    5.533156e+07    1.813084e-08    3.959061e-10    1.801602e-08    3.210520e-09   -3.300000e+00    7.093435e-01    1.960881e+00
    6.034399e-01    3.615589e+00    1.046547e+01    5.545558e+07    1.812457e-08    3.825619e-10    1.801188e-08    3.209648e-09   -3.290000e+00    7.093435e-01    1.952318e+00
    6.082494e-01    3.714405e+00    1.040221e+01    5.557813e+07    1.811854e-08    3.696672e-10    1.800750e-08    3.208768e-09   -3.280000e+00    7.093435e-01    1.943764e+00
    6.131107e-01    3.818144e+00    1.033887e+01    5.569911e+07    1.811274e-08    3.572093e-10    1.800287e-08    3.207881e-09   -3.270000e+00    7.093435e-01    1.935221e+00
    6.180285e-01    3.927153e+00    1.027543e+01    5.581853e+07    1.810715e-08    3.451759e-10    1.799802e-08    3.206987e-09   -3.260000e+00    7.093435e-01    1.926689e+00
    6.230013e-01    4.041802e+00    1.021187e+01    5.593622e+07    1.810177e-08    3.335543e-10    1.799295e-08    3.206086e-09   -3.250000e+00    7.093435e-01    1.918166e+00
    6.280305e-01    4.162498e+00    1.014818e+01    5.605215e+07    1.809660e-08    3.223324e-10    1.798764e-08    3.205181e-09   -3.240000e+00    7.093435e-01    1.909654e+00
    6.331148e-01    4.289680e+00    1.008439e+01    5.616616e+07    1.809163e-08    3.114978e-10    1.798214e-08    3.204270e-09   -3.230000e+00    7.093435e-01    1.901153e+00
    6.382549e-01    4.423831e+00    1.002050e+01    5.627823e+07    1.808686e-08    3.010390e-10    1.797643e-08    3.203357e-09   -3.220000e+00    7.093435e-01    1.892662e+00
    6.434495e-01    4.565466e+00    9.956485e+00    5.638814e+07    1.808227e-08    2.909438e-10    1.797052e-08    3.202439e-09   -3.210000e+00    7.093435e-01    1.884181e+00
    6.486988e-01    4.715156e+00    9.892365e+00    5.649584e+07    1.807786e-08    2.812009e-10    1.796442e-08    3.201519e-09   -3.200000e+00    7.093435e-01    1.875710e+00
    6.540017e-01    4.873518e+00    9.828140e+00    5.660112e+07    1.807362e-08    2.717989e-10    1.795813e-08    3.200597e-09   -3.190000e+00    7.093435e-01    1.867249e+00
    6.593575e-01    5.041226e+00    9.763815e+00    5.670390e+07    1.806957e-08    2.627266e-10    1.795166e-08    3.199672e-09   -3.180000e+00    7.093435e-01    1.858799e+00
    6.647653e-01    5.219010e+00    9.699385e+00    5.680396e+07    1.806567e-08    2.539733e-10    1.794503e-08    3.198747e-09   -3.170000e+00    7.093435e-01    1.850359e+00
    6.702235e-01    5.407670e+00    9.634860e+00    5.690115e+07    1.806193e-08    2.455281e-10    1.793822e-08    3.197821e-09   -3.160000e+00    7.093435e-01    1.841929e+00
    6.757316e-01    5.608078e+00    9.570235e+00    5.699529e+07    1.805834e-08    2.373809e-10    1.793125e-08    3.196895e-09   -3.150000e+00    7.093435e-01    1.833510e+00
    6.812868e-01    5.821176e+00    9.505520e+00    5.708613e+07    1.805491e-08    2.295213e-10    1.792413e-08    3.195969e-09   -3.140000e+00    7.093435e-01    1.825100e+00
    6.868872e-01    6.047999e+00    9.440720e+00    5.717348e+07    1.805161e-08    2.219397e-10    1.791686e-08    3.195043e-09   -3.130000e+00    7.093435e-01    1.816701e+00
    6.925312e-01    6.289666e+00    9.375830e+00    5.725706e+07    1.804846e-08    2.146263e-10    1.790944e-08    3.194119e-09   -3.120000e+00    7.093435e-01    1.808311e+00
    6.982169e-01    6.547405e+00    9.310860e+00    5.733673e+07    1.804544e-08    2.075719e-10    1.790188e-08    3.193195e-09   -3.110000e+00    7.093435e-01    1.799932e+00
    7.039405e-01    6.822534e+00    9.245810e+00    5.741209e+07    1.804254e-08    2.007672e-10    1.789418e-08    3.192274e-09   -3.100000e+00    7.093435e-01    1.791563e+00
    7.096999e-01    7.116502e+00    9.180690e+00    5.748299e+07    1.803976e-08    1.942036e-10    1.788635e-08    3.191354e-09   -3.090000e+00    7.093435e-01    1.783204e+00
    7.154923e-01    7.430873e+00    9.115500e+00    5.754911e+07    1.803711e-08    1.878725e-10    1.787839e-08    3.190435e-09   -3.080000e+00    7.093435e-01    1.774855e+00
    7.213132e-01    7.767326e+00    9.050250e+00    5.761012e+07    1.803457e-08    1.817655e-10    1.787032e-08    3.189520e-09   -3.070000e+00    7.093435e-01    1.766516e+00
    7.271596e-01    8.127691e+00    8.984940e+00    5.766573e+07    1.803214e-08    1.758746e-10    1.786212e-08    3.188608e-09   -3.060000e+00    7.093435e-01    1.758187e+00
    7.330268e-01    8.513937e+00    8.919585e+00    5.771564e+07    1.802981e-08    1.701920e-10    1.785381e-08    3.187698e-09   -3.050000e+00    7.093435e-01    1.749868e+00
    7.389126e-01    8.928189e+00    8.854180e+00    5.775957e+07    1.802759e-08    1.647102e-10    1.784538e-08    3.186790e-09   -3.040000e+00    7.093435e-01    1.741558e+00
    7.448114e-01    9.372707e+00    8.788735e+00    5.779715e+07    1.802546e-08    1.594219e-10    1.783685e-08    3.185886e-09   -3.030000e+00    7.093435e-01    1.733259e+00
    7.507193e-01    9.849928e+00    8.723260e+00    5.782816e+07    1.802342e-08    1.543201e-10    1.782821e-08    3.184986e-09   -3.020000e+00    7.093435e-01    1.724970e+00
    7.566318e-01    1.036244e+01    8.657765e+00    5.785224e+07    1.802148e-08    1.493979e-10    1.781948e-08    3.184088e-09   -3.010000e+00    7.093435e-01    1.716690e+00
    7.625442e-01    1.091297e+01    8.592250e+00    5.786907e+07    1.801961e-08    1.446486e-10    1.781064e-08    3.183195e-09   -3.000000e+00    7.093435e-01    1.708421e+00
    7.684527e-01    1.150446e+01    8.526725e+00    5.787846e+07    1.801783e-08    1.400662e-10    1.780171e-08    3.182304e-09   -2.990000e+00    7.093435e-01    1.700161e+00
    7.743525e-01    1.213994e+01    8.461205e+00    5.788012e+07    1.801614e-08    1.356442e-10    1.779269e-08    3.181417e-09   -2.980000e+00    7.093435e-01    1.691911e+00
    7.802402e-01    1.282261e+01    8.395690e+00    5.787384e+07    1.801452e-08    1.313769e-10    1.778358e-08    3.180535e-09   -2.970000e+00    7.093435e-01    1.683671e+00
